analysis_id	biosample_id	individual_id	experiment_id	analysis_operation_id	analysis_operation_label
pgxcs-ltohuu3r	pgxbs-kftvi167	pgxind-kftx3n15	pgx:TCGA.3299e2bc-db36-4b1d-ad37-f0e10cf11338	EDAM:operation_3227	Variant Calling
pgxcs-ltoic352	pgxbs-kftvhjd1	pgxind-kftx3he6	pgx:TCGA.ef48e806-e31c-4a11-afe8-dcc232357329	EDAM:operation_3227	Variant Calling
pgxcs-ltohc1v9	pgxbs-kftvhltw	pgxind-kftx3k4b	pgx:TCGA.7bbf0a45-a675-4f05-ac45-9e92ba55d542	EDAM:operation_3227	Variant Calling
pgxcs-ltohxoah	pgxbs-kftvhssf	pgxind-kftx3lxs	pgx:TCGA.da897a5d-b2cc-419f-acd7-473b4928c5d5	EDAM:operation_3227	Variant Calling
pgxcs-ltoiile0	pgxbs-kftvhvt5	pgxind-kftx3sa3	pgx:TCGA.d0027b26-44ea-4276-9ad4-e0c47a4564e9	EDAM:operation_3227	Variant Calling
pgxcs-ltoibc88	pgxbs-kftvhm7a	pgxind-kftx3kha	pgx:TCGA.728db9f6-58b5-4270-a494-1298809f17c0	EDAM:operation_3227	Variant Calling
pgxcs-ltoiellx	pgxbs-kftvi823	pgxind-kftx3nds	pgx:TCGA.392c23ad-b249-4432-ba8f-5ad501206e2d	EDAM:operation_3227	Variant Calling
pgxcs-ltohzm70	pgxbs-kftvi6hr	pgxind-kftx3uzi	pgx:TCGA.42268a74-cfd1-4724-a8c6-4e9b977f1fbe	EDAM:operation_3227	Variant Calling
pgxcs-ltoid0ea	pgxbs-kftvi4eg	pgxind-kftx3t07	pgx:TCGA.96bd691f-1807-456a-bef1-cb5018f5b0b1	EDAM:operation_3227	Variant Calling
pgxcs-ltoigvl1	pgxbs-kftvhtff	pgxind-kftx3id0	pgx:TCGA.bd4f84c0-4cee-4602-af31-d30c3e77621e	EDAM:operation_3227	Variant Calling
pgxcs-ltohkg6u	pgxbs-kftvi5pa	pgxind-kftx3sl2	pgx:TCGA.d7f0e432-c20b-4b2b-8d73-2a235f339be7	EDAM:operation_3227	Variant Calling
pgxcs-ltoi71u6	pgxbs-kftvhy9e	pgxind-kftx3tpt	pgx:TCGA.42b4c70b-27d1-43b5-bc73-70d367d5abdb	EDAM:operation_3227	Variant Calling
pgxcs-ltohh225	pgxbs-kftvhwwf	pgxind-kftx3sy6	pgx:TCGA.395c07f0-98c2-4bd2-9f1d-1de15682c599	EDAM:operation_3227	Variant Calling
pgxcs-ltoia517	pgxbs-kftvhhk1	pgxind-kftx3f9v	pgx:TCGA.55f38106-e784-42f4-ae95-1cf1bf86dfbf	EDAM:operation_3227	Variant Calling
pgxcs-ltohxdr0	pgxbs-kftvi20q	pgxind-kftx3g5o	pgx:TCGA.26b0cf7a-584f-46e5-8f83-b6b5f7d542ba	EDAM:operation_3227	Variant Calling
pgxcs-ltoiddos	pgxbs-kftvi4t0	pgxind-kftx3te1	pgx:TCGA.0c1deaff-f69f-4f26-802f-a0bbfbe015e2	EDAM:operation_3227	Variant Calling
pgxcs-ltoilphc	pgxbs-kftvi8eu	pgxind-kftx3uv6	pgx:TCGA.f89fa4cc-a6b6-4d58-99f3-2f3ea5f79ebd	EDAM:operation_3227	Variant Calling
pgxcs-ltoi48un	pgxbs-kftvi6c2	pgxind-kftx3vog	pgx:TCGA.fc917f09-f0b2-4d59-be8f-077e5aae9bb7	EDAM:operation_3227	Variant Calling
pgxcs-ltohp4ah	pgxbs-kftvhlrv	pgxind-kftx3k26	pgx:TCGA.2e7eec3f-c9c4-42c2-8b3d-296d916a2842	EDAM:operation_3227	Variant Calling
pgxcs-ltoihkl8	pgxbs-kftvi7eq	pgxind-kftx3ibo	pgx:TCGA.31ee769f-14d5-4cc3-b25f-76ca354bdb1b	EDAM:operation_3227	Variant Calling
pgxcs-ltoi2fsu	pgxbs-kftvi64h	pgxind-kftx3t5m	pgx:TCGA.cbc8f951-7809-423b-9b6f-b2c6deb68318	EDAM:operation_3227	Variant Calling
pgxcs-ltoigwjp	pgxbs-kftvhqsk	pgxind-kftx3iwd	pgx:TCGA.b13d4e3d-898e-4339-a506-110b8e803b6e	EDAM:operation_3227	Variant Calling
pgxcs-ltohd4a8	pgxbs-kftvhrsi	pgxind-kftx3pr4	pgx:TCGA.5cd539b8-90bf-4465-826f-73269ea2e802	EDAM:operation_3227	Variant Calling
pgxcs-ltoho222	pgxbs-kftvhv1p	pgxind-kftx3rt1	pgx:TCGA.582f2b5d-ed8e-4f78-b116-76ec00bee2d4	EDAM:operation_3227	Variant Calling
pgxcs-ltoifb0t	pgxbs-kftvhkxv	pgxind-kftx3j5q	pgx:TCGA.c85ed66e-c58b-45d9-82f6-8248b9e05338	EDAM:operation_3227	Variant Calling
pgxcs-ltoilfef	pgxbs-kftvhtgs	pgxind-kftx3nmi	pgx:TCGA.eee3738e-89d5-41be-8f9d-564e46b4e065	EDAM:operation_3227	Variant Calling
pgxcs-ltoherdc	pgxbs-kftvi8wv	pgxind-kftx3viw	pgx:TCGA.a2fba54c-333f-4c64-b7cf-65336808e213	EDAM:operation_3227	Variant Calling
pgxcs-ltoi6r12	pgxbs-kftvhlgj	pgxind-kftx3jq4	pgx:TCGA.e2972032-86b3-400f-90ef-2ba7ae5ac969	EDAM:operation_3227	Variant Calling
pgxcs-ltoh77rv	pgxbs-kftvhhj7	pgxind-kftx3f8v	pgx:TCGA.36b3081a-bb1a-4ce8-928d-aee302f5bacf	EDAM:operation_3227	Variant Calling
pgxcs-ltoibwo4	pgxbs-kftvhne1	pgxind-kftx3ly8	pgx:TCGA.38eb582a-b664-4b73-905a-680671301615	EDAM:operation_3227	Variant Calling
pgxcs-ltoidll2	pgxbs-kftvi51s	pgxind-kftx3u6d	pgx:TCGA.a612b7da-1ddd-4a92-8d9a-674f26f98d8a	EDAM:operation_3227	Variant Calling
pgxcs-ltohlqin	pgxbs-kftvhypz	pgxind-kftx3fx7	pgx:TCGA.c48c1ad2-c8eb-4e7c-a491-1cf59a47ef86	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6e6v	pgxbs-kftvi0pw	pgxind-kftx3gyc	pgx:TCGA.472d7e5c-8de9-435d-87a4-7882961ad7f4	EDAM:operation_3227	Variant Calling
pgxcs-ltoicl5m	pgxbs-kftvhplf	pgxind-kftx3nzc	pgx:TCGA.5286469a-a1bc-4f94-8471-3ffb6260417c	EDAM:operation_3227	Variant Calling
pgxcs-ltohgdxl	pgxbs-kftvi1wd	pgxind-kftx3rbh	pgx:TCGA.f9e84d1f-da02-45f9-a26d-e95a32dcc252	EDAM:operation_3227	Variant Calling
pgxcs-ltoi1td6	pgxbs-kftvhseh	pgxind-kftx3llc	pgx:TCGA.bf1a4471-c33b-49a8-b9a6-c9ae183a5c94	EDAM:operation_3227	Variant Calling
pgxcs-ltohiqgg	pgxbs-kftvhxov	pgxind-kftx3tfg	pgx:TCGA.19cd23a1-28ef-4b34-b851-22f7434329a3	EDAM:operation_3227	Variant Calling
pgxcs-ltoijph7	pgxbs-kftvi1w8	pgxind-kftx3u2l	pgx:TCGA.80c2eef7-e6dc-41aa-b98b-0877eadc5c38	EDAM:operation_3227	Variant Calling
pgxcs-ltoihopo	pgxbs-kftvi0a5	pgxind-kftx3psx	pgx:TCGA.0cea748c-d2e9-418e-84b0-41a07bddc9da	EDAM:operation_3227	Variant Calling
pgxcs-ltohoqtm	pgxbs-kftvi3mx	pgxind-kftx3m7f	pgx:TCGA.f3cc6f9c-3fe1-47c6-9bae-5c04daf4c640	EDAM:operation_3227	Variant Calling
pgxcs-ltohmsc9	pgxbs-kftvhjx6	pgxind-kftx3i1b	pgx:TCGA.13dec3d1-c7f8-4b95-bd54-2d3136cee001	EDAM:operation_3227	Variant Calling
pgxcs-ltohj47m	pgxbs-kftvhmrl	pgxind-kftx3lca	pgx:TCGA.7790cb0b-67e4-45c4-9983-0182b28b11b8	EDAM:operation_3227	Variant Calling
pgxcs-ltoig9cn	pgxbs-kftvhp1w	pgxind-kftx3ni3	pgx:TCGA.a87e6352-c469-484d-87fc-fabdba237d01	EDAM:operation_3227	Variant Calling
pgxcs-ltohu1xw	pgxbs-kftvi0ei	pgxind-kftx3nsv	pgx:TCGA.90f61eda-6c83-48ba-87e0-2fe89bbff03e	EDAM:operation_3227	Variant Calling
pgxcs-ltoifq4s	pgxbs-kftvhnas	pgxind-kftx3luy	pgx:TCGA.a8f3b148-5929-4025-81a1-6595d49f2279	EDAM:operation_3227	Variant Calling
pgxcs-ltoh7oow	pgxbs-kftvhz3u	pgxind-kftx3u3q	pgx:TCGA.8caec376-1f90-4802-947f-b893c370f219	EDAM:operation_3227	Variant Calling
pgxcs-ltohjwbq	pgxbs-kftvhq26	pgxind-kftx3g4f	pgx:TCGA.9b9f0b93-cf1e-4052-8938-2c56ad8a2fd2	EDAM:operation_3227	Variant Calling
pgxcs-ltohh358	pgxbs-kftvhv1t	pgxind-kftx3hhu	pgx:TCGA.005f1dd8-49e2-4448-b37e-ac9fcffb02d6	EDAM:operation_3227	Variant Calling
pgxcs-ltoilqn3	pgxbs-kftvi5c6	pgxind-kftx3ume	pgx:TCGA.c772bc85-f358-450a-8693-899eac419271	EDAM:operation_3227	Variant Calling
pgxcs-ltohre0n	pgxbs-kftvhoz7	pgxind-kftx3nfh	pgx:TCGA.22ec17ab-22fc-4e78-a559-ebc9493140e6	EDAM:operation_3227	Variant Calling
pgxcs-ltohz4ul	pgxbs-kftvi6xi	pgxind-kftx3qeg	pgx:TCGA.226992b4-f81f-49f5-a1da-37ab1742779b	EDAM:operation_3227	Variant Calling
pgxcs-ltoijxeq	pgxbs-kftvhk60	pgxind-kftx3ib6	pgx:TCGA.36701941-06ee-4ecf-bdcc-8646c214e507	EDAM:operation_3227	Variant Calling
pgxcs-ltohvuz0	pgxbs-kftvhs0z	pgxind-kftx3oi2	pgx:TCGA.a9bc482e-8506-462f-98ac-78d9deb2f63c	EDAM:operation_3227	Variant Calling
pgxcs-ltoijp34	pgxbs-kftvhlh4	pgxind-kftx3jqq	pgx:TCGA.3106274b-1330-4c1d-9d6f-ee36138bc929	EDAM:operation_3227	Variant Calling
pgxcs-ltohwe07	pgxbs-kftvi2u1	pgxind-kftx3o5s	pgx:TCGA.a29fddb5-b032-43eb-a56c-a736f25596cc	EDAM:operation_3227	Variant Calling
pgxcs-ltoi3yxz	pgxbs-kftvi9pg	pgxind-kftx3od4	pgx:TCGA.356e0f37-c095-455e-b3ea-252afa34806e	EDAM:operation_3227	Variant Calling
pgxcs-ltoig4wv	pgxbs-kftvhj3j	pgxind-kftx3h34	pgx:TCGA.dacbc55d-25c6-4e86-bd1b-38345b4df7a7	EDAM:operation_3227	Variant Calling
pgxcs-ltohd0jl	pgxbs-kftvi4v2	pgxind-kftx3v30	pgx:TCGA.528f5c3e-6b0f-48e7-a57b-56ccd1ec2352	EDAM:operation_3227	Variant Calling
pgxcs-ltoh7lhr	pgxbs-kftvi1mq	pgxind-kftx3v3e	pgx:TCGA.c0c9dd1b-98b1-4a20-8927-3c0b75a4559e	EDAM:operation_3227	Variant Calling
pgxcs-ltoiikf2	pgxbs-kftvhksi	pgxind-kftx3j01	pgx:TCGA.3ac19224-4535-4f04-bb3d-7de9025542c2	EDAM:operation_3227	Variant Calling
pgxcs-ltoii7nr	pgxbs-kftvhu8d	pgxind-kftx3otc	pgx:TCGA.f33e300f-fae5-4e59-93bf-7ce708bf95ff	EDAM:operation_3227	Variant Calling
pgxcs-ltohwfr2	pgxbs-kftvhyzw	pgxind-kftx3hq6	pgx:TCGA.9980051a-82ce-46c8-a796-42b5a85ff329	EDAM:operation_3227	Variant Calling
pgxcs-ltohyc3x	pgxbs-kftvi0kx	pgxind-kftx3upg	pgx:TCGA.910e6a50-1c73-4b3f-8112-aec92c4645cc	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6zlw	pgxbs-kftvhkd6	pgxind-kftx3f9f	pgx:TCGA.ebe937b7-b2bf-45b9-8517-009e6f67b6de	EDAM:operation_3227	Variant Calling
pgxcs-ltohmudu	pgxbs-kftvhocz	pgxind-kftx3jk5	pgx:TCGA.ed61ac6a-f21f-4b88-928a-029340d4aebd	EDAM:operation_3227	Variant Calling
pgxcs-ltoidkzx	pgxbs-kftvhtyf	pgxind-kftx3rad	pgx:TCGA.5e4e1e21-8016-4e27-8f72-2411714203e8	EDAM:operation_3227	Variant Calling
pgxcs-ltoif57l	pgxbs-kftvhx7b	pgxind-kftx3pq0	pgx:TCGA.9975969d-a63f-4bbf-8b26-5a10299b5706	EDAM:operation_3227	Variant Calling
pgxcs-ltoi0mu1	pgxbs-kftvhsfv	pgxind-kftx3q7y	pgx:TCGA.045cb6e7-2029-430f-941d-871c64fce8f8	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9lub	pgxbs-kftvhord	pgxind-kftx3n89	pgx:TCGA.8eacd13b-b2d6-4002-a22d-26fe426e47ab	EDAM:operation_3227	Variant Calling
pgxcs-ltoi8nka	pgxbs-kftvhte0	pgxind-kftx3qws	pgx:TCGA.aaee0b65-c176-431d-a2d5-4912c8281a7c	EDAM:operation_3227	Variant Calling
pgxcs-ltoilhbo	pgxbs-kftvi4zz	pgxind-kftx3utt	pgx:TCGA.a42eb242-f16d-4195-b5cf-7b274acfdea1	EDAM:operation_3227	Variant Calling
pgxcs-ltohtq3o	pgxbs-kftvi6al	pgxind-kftx3irw	pgx:TCGA.318c7e4b-196f-4cc5-8503-8d111f1713e0	EDAM:operation_3227	Variant Calling
pgxcs-ltohrck7	pgxbs-kftvhp9p	pgxind-kftx3i67	pgx:TCGA.e4b391d9-2f3e-474c-afa0-fdf4fd11fdf9	EDAM:operation_3227	Variant Calling
pgxcs-ltohq6f7	pgxbs-kftvhzqb	pgxind-kftx3o71	pgx:TCGA.07e2fea3-4ba5-49b3-ae9b-61ff8492026c	EDAM:operation_3227	Variant Calling
pgxcs-ltoholz9	pgxbs-kftvhng3	pgxind-kftx3m04	pgx:TCGA.1c7c4001-1505-4667-80b6-a7491c16a16c	EDAM:operation_3227	Variant Calling
pgxcs-ltohlmug	pgxbs-kftvi04n	pgxind-kftx3r18	pgx:TCGA.209bcf2c-dac4-48e4-b47c-5a4c8e8797b9	EDAM:operation_3227	Variant Calling
pgxcs-ltoikjt8	pgxbs-kftvhsf6	pgxind-kftx3ng6	pgx:TCGA.ced8751e-3265-4cfe-8289-d2c66dd0139c	EDAM:operation_3227	Variant Calling
pgxcs-ltohs482	pgxbs-kftvhth7	pgxind-kftx3fz8	pgx:TCGA.8bbfb052-46f4-46e6-8c34-e0b9923c3426	EDAM:operation_3227	Variant Calling
pgxcs-ltohim0j	pgxbs-kftvhzwe	pgxind-kftx3ufg	pgx:TCGA.d683c205-66e8-4be0-a849-14083a585e7d	EDAM:operation_3227	Variant Calling
pgxcs-ltohyhwt	pgxbs-kftvhxg9	pgxind-kftx3q1k	pgx:TCGA.2bba3faa-8d55-4aec-863d-aae1cea6feab	EDAM:operation_3227	Variant Calling
pgxcs-ltoi7wzt	pgxbs-kftvi3jx	pgxind-kftx3tw9	pgx:TCGA.cba2dcfb-5988-435c-99c1-445a36c6082f	EDAM:operation_3227	Variant Calling
pgxcs-ltoha5va	pgxbs-kftvho37	pgxind-kftx3mmm	pgx:TCGA.b168a02c-205b-47bf-9a2a-7f951974bc66	EDAM:operation_3227	Variant Calling
pgxcs-ltoia7y5	pgxbs-kftvhuev	pgxind-kftx3pmu	pgx:TCGA.bdd75bca-6224-4743-a367-cb1ff01e8121	EDAM:operation_3227	Variant Calling
pgxcs-ltoilv2t	pgxbs-kftvhj79	pgxind-kftx3h7i	pgx:TCGA.8f80047b-a700-413c-b228-6d170648e168	EDAM:operation_3227	Variant Calling
pgxcs-ltoh7m0y	pgxbs-kftvhtbz	pgxind-kftx3qdv	pgx:TCGA.ecf0f65b-bf3c-4d0e-899a-f209247cbe97	EDAM:operation_3227	Variant Calling
pgxcs-ltohqi00	pgxbs-kftvhuc3	pgxind-kftx3ger	pgx:TCGA.51927f82-2585-465b-92ed-36ef46d44fab	EDAM:operation_3227	Variant Calling
pgxcs-ltohy3wi	pgxbs-kftvi15m	pgxind-kftx3uwy	pgx:TCGA.199c6d34-6693-4533-a2ae-c83acedfc004	EDAM:operation_3227	Variant Calling
pgxcs-ltoi85m2	pgxbs-kftvi0tv	pgxind-kftx3ut0	pgx:TCGA.e8bcc7f5-b514-4fc7-b07b-fd4aa8821463	EDAM:operation_3227	Variant Calling
pgxcs-ltoihmr1	pgxbs-kftvhm2g	pgxind-kftx3kcr	pgx:TCGA.100d39c1-d295-4b2d-b00d-97a01fd33401	EDAM:operation_3227	Variant Calling
pgxcs-ltoijr0g	pgxbs-kftvhwxh	pgxind-kftx3syl	pgx:TCGA.e0bee92c-8161-40d0-858a-81093d90844f	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9ugm	pgxbs-kftvht5y	pgxind-kftx3mr1	pgx:TCGA.e9c18a21-a583-4031-80d6-4abc8c67fc28	EDAM:operation_3227	Variant Calling
pgxcs-ltohioia	pgxbs-kftvi7tw	pgxind-kftx3mdl	pgx:TCGA.58bfe278-a80f-4722-b286-4d966214d244	EDAM:operation_3227	Variant Calling
pgxcs-ltohapgj	pgxbs-kftvi7o6	pgxind-kftx3weu	pgx:TCGA.398932ab-74c1-400d-8289-f2c1c8d85e1c	EDAM:operation_3227	Variant Calling
pgxcs-ltohv02m	pgxbs-kftvhyqi	pgxind-kftx3g1q	pgx:TCGA.a231a29e-bac8-42db-b628-5ec1247cb388	EDAM:operation_3227	Variant Calling
pgxcs-ltohuka7	pgxbs-kftvi1fk	pgxind-kftx3phw	pgx:TCGA.200819c3-826e-49a1-8824-6d4752e6eb6f	EDAM:operation_3227	Variant Calling
pgxcs-ltoiigjh	pgxbs-kftvhtra	pgxind-kftx3r69	pgx:TCGA.271e4445-d542-451b-b298-633574bc3a1a	EDAM:operation_3227	Variant Calling
pgxcs-ltohpom6	pgxbs-kftvi1gp	pgxind-kftx3p7h	pgx:TCGA.45c79141-a125-4305-b1b7-c838de1af8a3	EDAM:operation_3227	Variant Calling
pgxcs-ltohibfh	pgxbs-kftvi865	pgxind-kftx3nby	pgx:TCGA.4c71bbcf-72c7-47ca-9a20-00c8a82a9414	EDAM:operation_3227	Variant Calling
pgxcs-ltoij5xl	pgxbs-kftvhpul	pgxind-kftx3ffv	pgx:TCGA.5c1201c4-1450-4d20-b398-c3e169a8c09f	EDAM:operation_3227	Variant Calling
pgxcs-ltoi9d3k	pgxbs-kftvi65h	pgxind-kftx3uqz	pgx:TCGA.41fd7486-6172-4bf3-a4f8-eb9cf7e066db	EDAM:operation_3227	Variant Calling
pgxcs-ltoi0px6	pgxbs-kftvhxl5	pgxind-kftx3tcv	pgx:TCGA.3871600d-1115-4810-bcb3-54ed8370acf9	EDAM:operation_3227	Variant Calling
pgxcs-ltohzxof	pgxbs-kftvhpg9	pgxind-kftx3nul	pgx:TCGA.e06a07d0-c59a-4869-93b7-dc3be8f2d6b8	EDAM:operation_3227	Variant Calling
pgxcs-ltoiitpw	pgxbs-kftvhjox	pgxind-kftx3hs1	pgx:TCGA.525b173f-c563-4822-a04b-79555d80dde2	EDAM:operation_3227	Variant Calling
pgxcs-ltoijgdm	pgxbs-kftvi4f1	pgxind-kftx3vdf	pgx:TCGA.579dd91d-d4ac-40bc-b406-5a799dacce39	EDAM:operation_3227	Variant Calling
pgxcs-ltohdu36	pgxbs-kftvi54z	pgxind-kftx3w33	pgx:TCGA.030ed394-9316-4ce3-96e3-680e3bcb1595	EDAM:operation_3227	Variant Calling
pgxcs-ltoi47hy	pgxbs-kftvi7n4	pgxind-kftx3fw3	pgx:TCGA.0f0d0c43-9987-4b4c-8686-9b4c89a27c57	EDAM:operation_3227	Variant Calling
pgxcs-ltohqrvq	pgxbs-kftvi4aq	pgxind-kftx3tnc	pgx:TCGA.3b3d2b6e-c911-4085-a701-2c8ae8fe6a6e	EDAM:operation_3227	Variant Calling
pgxcs-ltohmgc5	pgxbs-kftvi8ee	pgxind-kftx3s0y	pgx:TCGA.64690ddc-dfa9-46c9-bde3-8180212236ee	EDAM:operation_3227	Variant Calling
pgxcs-ltoi927m	pgxbs-kftvhslc	pgxind-kftx3jzi	pgx:TCGA.9e2cdd77-110d-498a-83e8-df2e044303d6	EDAM:operation_3227	Variant Calling
pgxcs-ltoi2sk3	pgxbs-kftvhx8k	pgxind-kftx3fix	pgx:TCGA.7f18d32a-281b-472d-ba6b-37458a904f8d	EDAM:operation_3227	Variant Calling
pgxcs-ltohffbf	pgxbs-kftvhkex	pgxind-kftx3ilk	pgx:TCGA.82a783d9-ca3a-4d3f-8524-8c74eabd525a	EDAM:operation_3227	Variant Calling
pgxcs-ltoicbo2	pgxbs-kftvhkvq	pgxind-kftx3j3b	pgx:TCGA.1a929496-806b-42f7-a45d-5f66a73eedcd	EDAM:operation_3227	Variant Calling
pgxcs-ltohrpu1	pgxbs-kftvhozd	pgxind-kftx3nfn	pgx:TCGA.0e845d2c-7928-46a8-a751-a5df677e8041	EDAM:operation_3227	Variant Calling
pgxcs-ltohaee2	pgxbs-kftvhm0j	pgxind-kftx3kat	pgx:TCGA.f993ac1f-1f37-4cf1-ba77-85f95d77a62c	EDAM:operation_3227	Variant Calling
pgxcs-ltohk0mm	pgxbs-kftvhz3k	pgxind-kftx3n22	pgx:TCGA.60b3aac0-9089-4047-afa5-4577ab50b30d	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6eq5	pgxbs-kftvhjjx	pgxind-kftx3hmi	pgx:TCGA.a03f9020-3ded-4c1c-bf7e-1fa3a47e76de	EDAM:operation_3227	Variant Calling
pgxcs-ltoiils2	pgxbs-kftvhzw8	pgxind-kftx3ufe	pgx:TCGA.78eab12e-016e-4a63-b2ed-09c3a15f6e59	EDAM:operation_3227	Variant Calling
pgxcs-ltohdk5h	pgxbs-kftvhsyh	pgxind-kftx3qm3	pgx:TCGA.81fb5fa9-d901-4faa-b909-376b8676d2bc	EDAM:operation_3227	Variant Calling
pgxcs-ltohh88o	pgxbs-kftvhptn	pgxind-kftx3o6v	pgx:TCGA.986f9084-bbb8-4afa-9d13-697dad1b7b1a	EDAM:operation_3227	Variant Calling
pgxcs-ltoi5zyu	pgxbs-kftvhu0q	pgxind-kftx3lm2	pgx:TCGA.4f219672-1a4a-46df-b6db-1067ec06d091	EDAM:operation_3227	Variant Calling
pgxcs-ltohqrp8	pgxbs-kftvhu17	pgxind-kftx3nn8	pgx:TCGA.be0cefbd-8674-4c38-8c41-7e786de9b721	EDAM:operation_3227	Variant Calling
pgxcs-ltoi17v9	pgxbs-kftvi1xt	pgxind-kftx3rck	pgx:TCGA.3dd4532a-8cfe-4900-8d7e-af4303645705	EDAM:operation_3227	Variant Calling
pgxcs-ltoh6q60	pgxbs-kftvi5ba	pgxind-kftx3rat	pgx:TCGA.5aca4724-a433-4128-9c77-7899fc058f5b	EDAM:operation_3227	Variant Calling
pgxcs-ltohq2vx	pgxbs-kftvi3kz	pgxind-kftx3vph	pgx:TCGA.c4789d6b-15be-43b5-8b21-e57048a5d42a	EDAM:operation_3227	Variant Calling
pgxcs-ltoif0x1	pgxbs-kftvhrrl	pgxind-kftx3inn	pgx:TCGA.31a791d4-1214-4bb9-868a-f775ac4c2d7d	EDAM:operation_3227	Variant Calling
pgxcs-ltohzm00	pgxbs-kftvhu54	pgxind-kftx3rea	pgx:TCGA.e2d40747-f751-4ccb-a45c-a60b06046db1	EDAM:operation_3227	Variant Calling
pgxcs-ltoh83h9	pgxbs-kftvhi5x	pgxind-kftx3g00	pgx:TCGA.cb9b0a6a-d09b-4ee9-b30e-e4da3b6ac0af	EDAM:operation_3227	Variant Calling
pgxcs-ltoi3ox4	pgxbs-kftvhoi7	pgxind-kftx3n0f	pgx:TCGA.28b6c591-a167-4fcc-9bf4-f36175d4b3c5	EDAM:operation_3227	Variant Calling
pgxcs-ltoho6a4	pgxbs-kftvi1ln	pgxind-kftx3s6j	pgx:TCGA.98f6fcfd-df24-422f-a14d-144fd1a02849	EDAM:operation_3227	Variant Calling
pgxcs-ltohmttl	pgxbs-kftvhibd	pgxind-kftx3g6n	pgx:TCGA.313245ef-7d64-4158-bce8-8ff9d90952ba	EDAM:operation_3227	Variant Calling
pgxcs-ltohzi17	pgxbs-kftvhwc2	pgxind-kftx3rgp	pgx:TCGA.29095e45-9036-404e-890c-9ef4f261a915	EDAM:operation_3227	Variant Calling
pgxcs-ltohtcsk	pgxbs-kftvhrzu	pgxind-kftx3pwz	pgx:TCGA.6148f31e-cdba-481b-bcd7-b3aee05925b1	EDAM:operation_3227	Variant Calling
pgxcs-ltohf5rk	pgxbs-kftvi0bl	pgxind-kftx3ove	pgx:TCGA.353c14ee-9eaf-45dc-8e93-934092031c9d	EDAM:operation_3227	Variant Calling
pgxcs-ltohwn5z	pgxbs-kftvhw56	pgxind-kftx3si2	pgx:TCGA.cef2c059-5564-4d16-b57f-4bf83e2eeb95	EDAM:operation_3227	Variant Calling
pgxcs-ltoibfi5	pgxbs-kftvhisv	pgxind-kftx3grc	pgx:TCGA.4f20bdec-deac-4529-8e2f-823cfa8341e2	EDAM:operation_3227	Variant Calling
pgxcs-ltoicfdf	pgxbs-kftvi5zt	pgxind-kftx3fjt	pgx:TCGA.77e32689-497b-4f52-a6f6-a8112f435d40	EDAM:operation_3227	Variant Calling
pgxcs-ltohdq64	pgxbs-kftvhs6t	pgxind-kftx3q1w	pgx:TCGA.4a3c1455-336e-44da-b780-e3a168824276	EDAM:operation_3227	Variant Calling
pgxcs-ltoi1ox0	pgxbs-kftvi237	pgxind-kftx3twd	pgx:TCGA.ca58399b-994e-4094-bb12-e80372e6db53	EDAM:operation_3227	Variant Calling
pgxcs-ltoi793c	pgxbs-kftvhzy9	pgxind-kftx3ns0	pgx:TCGA.1ef9da2a-0e06-4a28-b9f5-5d900a9fc55e	EDAM:operation_3227	Variant Calling
pgxcs-ltoi01hw	pgxbs-kftvhwzm	pgxind-kftx3kaj	pgx:TCGA.d496dc3a-fc5b-4177-8570-e8725778d186	EDAM:operation_3227	Variant Calling
pgxcs-ltoimo2j	pgxbs-kftvhk5h	pgxind-kftx3iai	pgx:TCGA.9caf2f97-a056-4274-be21-cf06656116fa	EDAM:operation_3227	Variant Calling
pgxcs-ltoiare0	pgxbs-kftvhpgd	pgxind-kftx3nup	pgx:TCGA.780ab49c-29cb-445a-9d1d-89c733ff9f2f	EDAM:operation_3227	Variant Calling
pgxcs-ltohg55z	pgxbs-kftvho0o	pgxind-kftx3mk4	pgx:TCGA.0a2d9fad-c5df-46c1-bf96-529c7c92dfba	EDAM:operation_3227	Variant Calling
pgxcs-ltohxypx	pgxbs-kftvhooi	pgxind-kftx3n5p	pgx:TCGA.1b64c622-3223-4518-aed9-44d6577be392	EDAM:operation_3227	Variant Calling
pgxcs-ltohsxw7	pgxbs-kftvi113	pgxind-kftx3okr	pgx:TCGA.e3ab8511-d37d-4cec-a954-cfc616b2cefd	EDAM:operation_3227	Variant Calling
pgxcs-ltohw3ge	pgxbs-kftvi8ud	pgxind-kftx3nuc	pgx:TCGA.e7570871-e848-416e-b84c-19c052a10a78	EDAM:operation_3227	Variant Calling
pgxcs-ltoi75jv	pgxbs-kftvi8gl	pgxind-kftx3jbd	pgx:TCGA.209c4a86-09ce-41ec-bfa0-fa66c201aafd	EDAM:operation_3227	Variant Calling
pgxcs-ltoimu2n	pgxbs-kftvhtug	pgxind-kftx3lwd	pgx:TCGA.073b9d99-f780-4394-8c8e-dae9d690b606	EDAM:operation_3227	Variant Calling
