icdom	icdom_label	icdot	icdot_label	ncit	ncit_label	ncit_depth	count
93913	Ependymoma, NOS 	C71.6	Cerebellum	C3017	Ependymoma	8	1
93913	Ependymoma, NOS 	C71.9	Brain, NOS	C3017	Ependymoma	8	1
88251	Myofibroblastic tumor, NOS 	C34.9	Lung, NOS	C39740	Lung Inflammatory Myofibroblastic Tumor	7	1
93803	Glioma, malignant 	C71.9	Brain, NOS	C3059	Glioma	5	2
93803	Glioma, malignant 	C71.9	Brain, NOS	C132067	Low Grade Glioma	6	2
80103	Carcinoma, NOS	C73.9	Thyroid gland	C4815	Thyroid Gland Carcinoma	6	1
80703	Squamous cell carcinoma, NOS	C15.9	Esophagus, NOS	C95612	Esophageal Poorly Differentiated Squamous Cell Carcinoma	7	2
80703	Squamous cell carcinoma, NOS	C15.9	Esophagus, NOS	C4024	Esophageal Squamous Cell Carcinoma	6	2
95051	Ganglioglioma, NOS 	C71.9	Brain, NOS	C3788	Ganglioglioma	6	1
94003	Astrocytoma,NOS	C71.5	Ventricle, NOS	C60781	Astrocytoma	7	1
94403	Glioblastoma,NOS	C72.0	Spinal cord	C3058	Glioblastoma	8	1
88003	Sarcoma,NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C121792	Malignant PEComa	-1	3
88003	Sarcoma,NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C9306	Soft Tissue Sarcoma	5	3
88003	Sarcoma,NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C9118	Sarcoma	3	3
98603	Myeloid leukemia, NOS	C42.1	Bone marrow	C3172	Myeloid Leukemia	5	1
95403	Malignant peripheral nerve sheath tumor 	C47.9	Autonomic nervous system, NOS	C3798	Malignant Peripheral Nerve Sheath Tumor	5	1
85202	Lobular carcinoma in situ, NOS	C50.9	Breast, NOS	C4018	Lobular Breast Carcinoma In Situ	7	1
95400	Neurofibroma, NOS	C44.9	Skin, NOS	C3272	Neurofibroma	5	1
95400	Neurofibroma, NOS	C47.9	Autonomic nervous system, NOS	C3272	Neurofibroma	5	1
94733	CNS primitive neuroectodermal tumor (PNET)	C71.7	Brain stem	C3716	Primitive Neuroectodermal Tumor	5	1
88230	Desmoplastic fibroma	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3740	Bone Desmoplastic Fibroma	6	1
90803	Teratoma,malignant,NOS 	C41.9	Bone, NOS	C4286	Immature Teratoma	5	1
94211	Pilocytic astrocytoma 	C71.0	cerebrum	C4047	Pilocytic Astrocytoma	8	1
94211	Pilocytic astrocytoma 	C71.6	Cerebellum	C4047	Pilocytic Astrocytoma	8	1
94003	Astrocytoma,NOS	C71.0	cerebrum	C60781	Astrocytoma	7	1
94211	Pilocytic astrocytoma 	C71.7	Brain stem	C4047	Pilocytic Astrocytoma	8	1
93813	Gliomatosis cerebri	C71.6	Cerebellum	C4318	Gliomatosis Cerebri	7	1
91203	Hemangiosarcoma 	C50.9	Breast, NOS	C3088	Angiosarcoma	6	2
91203	Hemangiosarcoma 	C50.9	Breast, NOS	C5184	Breast Angiosarcoma	8	2
80103	Carcinoma, NOS	C50.9	Breast, NOS	C4872	Breast Carcinoma	4	2
80103	Carcinoma, NOS	C50.9	Breast, NOS	C71428	Triple-Negative Breast Cancer Finding	-1	2
95013	Medulloepithelioma, NOS	C71.0	cerebrum	C4327	Medulloepithelioma	6	1
93923	Ependymoma, anaplastic 	C71.0	cerebrum	C4049	Anaplastic Ependymoma	8	1
93913	Ependymoma, NOS 	C72.0	Spinal cord	C3017	Ependymoma	8	1
93913	Ependymoma, NOS 	C71.7	Brain stem	C3017	Ependymoma	8	1
88053	Undifferentiated sarcoma 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C27096	Undifferentiated (Embryonal) Sarcoma	-1	1
97003	Mycosis Fungoides	C44.9	Skin, NOS	C3246	Mycosis Fungoides	10	1
97183	anaplastic large cell lymphoma, cutaneous type	C44.9	Skin, NOS	C7195	Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder	8	1
96903	Follicular lymphoma, NOS	C42.4	Hematopoietic system, NOS	C3209	Follicular Lymphoma	9	1
89633	Malignant rhabdoid tumor	C71.9	Brain, NOS	C6906	Atypical Teratoid/Rhabdoid Tumor	6	1
89633	Malignant rhabdoid tumor	C49.9	Connective, subcutaneous and other soft tissues, NOS	C6906	Atypical Teratoid/Rhabdoid Tumor	6	1
95083	Atypical teratoid/rhabdoid tumor	C71.9	Brain, NOS	C6906	Atypical Teratoid/Rhabdoid Tumor	6	1
95083	Atypical teratoid/rhabdoid tumor	C72.0	Spinal cord	C6906	Atypical Teratoid/Rhabdoid Tumor	6	1
89633	Malignant rhabdoid tumor	C64.9	Kidney, NOS	C8715	Rhabdoid tumor of the kidney	8	1
89633	Malignant rhabdoid tumor	C22.0	Liver	C7115	Liver and Intrahepatic Bile Duct Malignant Non-Epithelial Neoplasm	6	1
80703	Squamous cell carcinoma, NOS	C04.9	floor of mouth, NOS	C4041	Floor of mouth squamous cell carcinoma	8	1
80703	Squamous cell carcinoma, NOS	C01.9	tongue	C4648	Tongue squamous cell carcinoma	8	1
81603	Cholangiocarcinoma	C22.1	Intrahepatic bile duct	C35417	Intrahepatic Cholangiocarcinoma	10	1
89633	Malignant rhabdoid tumor	C77.9	Lymph node, NOS	C6906	Atypical Teratoid/Rhabdoid Tumor	6	1
93903	Choroid plexus carcinoma	C72.0	Spinal cord	C4715	Choroid Plexus Carcinoma	9	1
95383	Papillary meningioma	C71.0	cerebrum	C3904	Papillary Meningioma	7	1
82113	Tubular adenocarcinoma	C50.9	Breast, NOS	C9135	Tubular Breast Carcinoma	7	1
85013	Comedocarcinoma, NOS	C50.9	Breast, NOS	C4188	Comedocarcinoma	4	1
94733	CNS primitive neuroectodermal tumor (PNET)	C71.9	Brain, NOS	C5398	Central Nervous System Embryonal Tumor, Not Otherwise Specified	6	1
81803	Combined hepatocellular carcinoma and cholangiocarcinoma	C22.1	Intrahepatic bile duct	C3828	Combined Hepatocellular Carcinoma and Cholangiocarcinoma	7	1
95083	Atypical teratoid/rhabdoid tumor	C71.6	Cerebellum	C6906	Atypical Teratoid/Rhabdoid Tumor	6	1
96993	Marginal zone B-cell lymphoma, NOS	C69.0	orbit and lacrimal gland, excl. retina, eye, nos	C4341	Marginal Zone Lymphoma	10	1
80703	Squamous cell carcinoma, NOS	C32.9	Larynx, NOS	C4044	Laryngeal Squamous Cell Carcinoma	8	1
80703	Squamous cell carcinoma, NOS	C13.9	Hypopharynx, NOS	C4043	Hypopharyngeal Squamous Cell Carcinoma	9	2
80703	Squamous cell carcinoma, NOS	C13.9	Hypopharynx, NOS	C2929	Squamous Cell Carcinoma	4	2
95300	Meningioma, NOS 	C71.9	Brain, NOS	C3230	Meningioma	5	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C71.9	Brain, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C62.9	Testis, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	1
99803	Refractory anemia	C42.1	Bone marrow	C2872	Refractory Anemia	7	1
93803	Glioma, malignant 	C71.5	Ventricle, NOS	C4822	Malignant Glioma	6	1
97013	Sezary syndrome	C44.9	Skin, NOS	C3366	Sezary Syndrome	10	1
82900	Oxyphilic adenoma	C64.9	Kidney, NOS	C3679	Oxyphilic Adenocarcinoma	5	2
82900	Oxyphilic adenoma	C64.9	Kidney, NOS	C4526	Kidney Oncocytoma	7	2
98263	Burkitt cell leukemia	C42.1	Bone marrow	C9140	Childhood B acute lymphoblastic leukemia	8	6
98263	Burkitt cell leukemia	C42.1	Bone marrow	C9142	Adult T acute lymphoblastic leukemia	8	6
98263	Burkitt cell leukemia	C42.1	Bone marrow	C7954	Adult Burkitt leukemia	7	6
98263	Burkitt cell leukemia	C42.1	Bone marrow	C9143	Adult B acute lymphoblastic leukemia	8	6
98263	Burkitt cell leukemia	C42.1	Bone marrow	C80347	B acute lymphoblastic leukemia with t(1;19)(q23;p13.3) E2A-PBX1 (TCF3-PBX1)	9	6
98263	Burkitt cell leukemia	C42.1	Bone marrow	C8644	B acute lymphoblastic leukemia	7	6
89823	Malignant myoepithelioma 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C7596	Malignant Myoepithelioma	5	1
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C38.0	Heart	C8851	Diffuse Large B-Cell Lymphoma	9	1
84813	Mucin-producing adenocarcinoma	C50.9	Breast, NOS	C27379	Mucin-Producing Adenocarcinoma	5	1
85753	Metaplastic carcinoma, NOS	C50.9	Breast, NOS	C5164	Metaplastic Breast Carcinoma	6	1
99853	Refractory cytopenia with multilineage dysplasia	C42.1	Bone marrow	C8574	Myelodysplastic Syndrome with Multilineage Dysplasia	6	1
88900	Leiomyoma, NOS	C34.9	Lung, NOS	C3157	Leiomyoma	7	1
96733	Mantle cell lymphoma 	C42.2	Spleen	C4337	Mantle Cell Lymphoma	9	1
96993	Marginal zone B-cell lymphoma, NOS	C07.9	Parotid gland 	C4341	Marginal Zone Lymphoma	10	1
97143	Anaplastic large cell lymphoma, T cell and Null cell type	C42.4	Hematopoietic system, NOS	C3468	Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma	8	1
81202	Transitional cell carcinoma in situ	C67.0	Urinary bladder	C4116	Stage 0 Transitional Cell Carcinoma	5	1
90201	Phyllodes tumor, borderline	C50.9	Breast, NOS	C7503	Borderline Phyllodes Tumor	5	1
90513	Fibrous mesothelioma, malignant 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C45655	Sarcomatoid Mesothelioma	6	1
90703	Embryonal carcinoma, NOS 	C62.9	Testis, NOS	C3752	Embryonal Carcinoma	4	1
90713	Yolk sac tumor 	C62.9	Testis, NOS	C3011	Yolk Sac Tumor	4	1
90613	Seminoma, NOS 	C62.9	Testis, NOS	C9309	Seminoma	4	1
90853	Mixed germ cell tumor 	C62.9	Testis, NOS	C4290	Mixed Germ Cell Tumor	4	1
90803	Teratoma,malignant,NOS 	C62.9	Testis, NOS	C4286	Immature Teratoma	5	1
84803	Mucinous adenocarcinoma	C18.9	Colon, NOS	C7966	Colon Mucinous Adenocarcinoma	9	1
81403	Adenocarcinoma, NOS	C17.9	Small intestine, NOS	C2852	Colon Adenocarcinoma	4	1
91803	Osteosarcoma, NOS 	C40.0	Bones and joints	C9145	Osteosarcoma	5	1
89733	Pleuropulmonary blastoma	C76.1	thorax, NOS	C5669	Pleuropulmonary Blastoma	5	1
83803	Endometrioid adenocarcinoma, NOS	C56.9	Ovary	C3769	Endometrioid Adenocarcinoma	6	2
83803	Endometrioid adenocarcinoma, NOS	C56.9	Ovary	C7979	Ovarian Endometrioid Adenocarcinoma	10	2
82003	Adenoid cystic carcinoma	C37.9	Thymus	C2970	Adenoid Cystic Carcinoma	4	1
91600	Angiofibroma, NOS	C11.9	Nasopharynx, NOS	C3799	Angiofibroma	6	1
96993	Marginal zone B-cell lymphoma, NOS	C34.9	Lung, NOS	C4341	Marginal Zone Lymphoma	10	1
97173	Intestinal T-cell lymphoma	C17.9	Small intestine, NOS	C4737	Enteropathy-Associated T-Cell Lymphoma	10	1
80703	Squamous cell carcinoma, NOS	C44.9	Skin, NOS	C4819	Skin Squamous Cell Carcinoma	5	1
85103	Medullary carcinoma, NOS	C50.9	Breast, NOS	C9119	Medullary Breast Carcinoma	7	1
81400	Adenoma, NOS	C22.1	Intrahepatic bile duct	C7126	Intrahepatic Bile Duct Adenoma	-1	1
84803	Mucinous adenocarcinoma	C17.9	Small intestine, NOS	C26712	Mucinous Adenocarcinoma	5	1
89361	Gastrointestinal stromal tumor, NOS 	C16.9	Stomach, NOS	C3868	Gastrointestinal Stromal Tumor	5	1
95303	Meningioma, malignant 	C71.9	Brain, NOS	C4051	Anaplastic (Malignant) Meningioma	7	1
93813	Gliomatosis cerebri	C71.9	Brain, NOS	C4318	Gliomatosis Cerebri	7	1
84803	Mucinous adenocarcinoma	C50.9	Breast, NOS	C26712	Mucinous Adenocarcinoma	5	1
81403	Adenocarcinoma, NOS	C50.9	Breast, NOS	C5214	Breast adenocarcinoma	5	1
80703	Squamous cell carcinoma, NOS	C51.9	Vulva, NOS	C4052	Vulvar Squamous Cell Carcinoma	8	1
89361	Gastrointestinal stromal tumor, NOS 	C17.9	Small intestine, NOS	C5811	Small Intestinal Gastrointestinal Stromal Tumor	7	1
89361	Gastrointestinal stromal tumor, NOS 	C18.9	Colon, NOS	C3868	Gastrointestinal Stromal Tumor	5	1
89361	Gastrointestinal stromal tumor, NOS 	C20.9	Rectum, NOS	C3868	Gastrointestinal Stromal Tumor	5	1
89361	Gastrointestinal stromal tumor, NOS 	C51.0	vagina and labia	C3868	Gastrointestinal Stromal Tumor	5	1
91600	Angiofibroma, NOS	C30.9	nasal cavity including nasal cartilage	C3799	Angiofibroma	6	1
96843	Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS	C72.9	Nervous system, NOS	C3461	Immunoblastic Lymphoma	11	1
85023	Secretory carcinoma of breast	C50.9	Breast, NOS	C4189	Secretory Breast Carcinoma	7	1
89361	Gastrointestinal stromal tumor, NOS 	C76.2	abdomen, NOS	C3868	Gastrointestinal Stromal Tumor	5	1
81303	Papillary transitional cell carcinoma	C67.0	Urinary bladder	C7383	Bladder Papillary Urothelial Carcinoma	8	1
89361	Gastrointestinal stromal tumor, NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3868	Gastrointestinal Stromal Tumor	5	1
82110	Tubular adenoma, NOS	C18.9	Colon, NOS	C4133	Tubular Adenoma	4	1
81403	Adenocarcinoma, NOS	C18.0	Cecum	C5543	Cecum adenocarcinoma	9	2
81403	Adenocarcinoma, NOS	C18.0	Cecum	C4349	Colon Adenocarcinoma	8	2
97053	Angioimmunoblastic T-cell lymphoma	C77.9	Lymph node, NOS	C7528	Angioimmunoblastic T-Cell Lymphoma	10	1
84603	Papillary serous cystadenocarcinoma	C56.9	Ovary	C8377	Papillary Serous Cystadenocarcinoma	7	1
84621	Serous papillary cystic tumor of borderline malignancy	C56.9	Ovary	C4183	Borderline Papillary Serous Cystadenoma	7	1
97053	Angioimmunoblastic T-cell lymphoma	C42.4	Hematopoietic system, NOS	C7528	Angioimmunoblastic T-Cell Lymphoma	10	1
92501	Giant cell tumor of bone, NOS	C41.9	Bone, NOS	C121932	Giant Cell Tumor of Bone	7	1
92000	Osteoblastoma, NOS	C41.9	Bone, NOS	C3294	Osteoblastoma	6	1
92410	Chondromyxoid fibroma	C41.9	Bone, NOS	C3830	Chondromyxoid Fibroma	-1	1
92300	Chondroblastoma, NOS 	C41.9	Bone, NOS	C2945	Chondroblastoma	6	1
82630	Tubulovillous adenoma, NOS	C18.9	Colon, NOS	C4143	Tubulovillous Adenoma	4	1
91910	Osteoid osteoma, NOS	C41.9	Bone, NOS	C3297	Osteoid Osteoma	6	1
80313	Giant cell carcinoma	C41.9	Bone, NOS	C3779	Giant Cell Carcinoma	5	1
94243	Pleomorphic xanthoastrocytoma 	C71.9	Brain, NOS	C129327	Anaplastic Pleomorphic Xanthoastrocytoma	8	2
94243	Pleomorphic xanthoastrocytoma 	C71.9	Brain, NOS	C4323	Pleomorphic Xanthoastrocytoma	8	2
89003	Rhabdomyosarcoma, NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3359	Rhabdomyosarcoma	7	1
80520	Squamous cell papilloma, NOS	C44.9	Skin, NOS	C4462	Skin Squamous Cell Papilloma	6	1
94903	Ganglioneuroblastoma	C72.9	Nervous system, NOS	C3790	Ganglioneuroblastoma	7	1
93923	Ependymoma, anaplastic 	C71.6	Cerebellum	C4049	Anaplastic Ependymoma	8	1
93923	Ependymoma, anaplastic 	C71.9	Brain, NOS	C4049	Anaplastic Ependymoma	8	1
88303	Malignant fibrous histiocytoma 	C40.0	Bones and joints	C4247	Undifferentiated Pleomorphic Sarcoma	7	1
90800	Teratoma, benign 	C72.0	Spinal cord	C9015	Mature Teratoma	6	1
90803	Teratoma,malignant,NOS 	C75.3	Pineal gland	C4286	Immature Teratoma	5	1
90643	Germinoma	C75.3	Pineal gland	C3753	Germinoma	4	1
90643	Germinoma	C71.9	Brain, NOS	C3753	Germinoma	4	1
90703	Embryonal carcinoma, NOS 	C71.9	Brain, NOS	C3752	Embryonal Carcinoma	4	1
90713	Yolk sac tumor 	C71.9	Brain, NOS	C3011	Yolk Sac Tumor	4	1
90813	Teratocarcinoma	C75.3	Pineal gland	C3756	Mixed Embryonal Carcinoma and Teratoma	5	1
90703	Embryonal carcinoma, NOS 	C72.0	Spinal cord	C3752	Embryonal Carcinoma	4	1
90713	Yolk sac tumor 	C75.3	Pineal gland	C3011	Yolk Sac Tumor	4	1
81403	Adenocarcinoma, NOS	C15.9	Esophagus, NOS	C4025	Esophageal Adenocarcinoma	6	2
81403	Adenocarcinoma, NOS	C15.9	Esophagus, NOS	C7027	Barrett adenocarcinoma	8	2
96803	Malignant lymphoma, large B-cell, diffuse, NOS	C44.9	Skin, NOS	C8851	Diffuse Large B-Cell Lymphoma	9	1
95973	Primary cutaneous follicle center lymphoma	C44.9	Skin, NOS	C7217	Primary Cutaneous Follicle Center Lymphoma	11	1
96903	Follicular lymphoma, NOS	C42.2	Spleen	C3209	Follicular Lymphoma	9	1
80323	Spindle cell carcinoma, NOS	C38.4	Pleura, NOS	C27004	Sarcomatoid Carcinoma	4	1
80223	Pleomorphic carcinoma	C38.4	Pleura, NOS	C4094	Pleomorphic Carcinoma	5	1
89003	Rhabdomyosarcoma, NOS 	C38.4	Pleura, NOS	C3359	Rhabdomyosarcoma	7	1
91803	Osteosarcoma, NOS 	C38.4	Pleura, NOS	C9145	Osteosarcoma	5	1
90513	Fibrous mesothelioma, malignant 	C38.4	Pleura, NOS	C6747	Desmoplastic Mesothelioma	6	2
90513	Fibrous mesothelioma, malignant 	C38.4	Pleura, NOS	C45663	Pleural Sarcomatoid Mesothelioma	7	2
87200	Pigmented nevus, NOS	C44.9	Skin, NOS	C27816	Pigmented Nevus	5	1
96793	Mediastinal large B-cell lymphoma 	C38.9	Mediastinum	C9280	Primary Mediastinal (Thymic) Large B-Cell Lymphoma	10	1
88043	Epithelioid sarcoma 	C77.9	Lymph node, NOS	C3714	Epithelioid Sarcoma	6	1
83610	Juxtaglomerular tumor	C64.9	Kidney, NOS	C4162	Juxtaglomerular Cell Tumor	-1	1
89820	Myoepithelioma	C49.9	Connective, subcutaneous and other soft tissues, NOS	C40392	Myoepithelial Tumor	4	1
80102	Carcinoma in situ, NOS	C50.9	Breast, NOS	C2917	Carcinoma In Situ	4	1
93703	Chordoma, NOS 	C40.0	Bones and joints	C2947	Chordoma	6	1
81400	Adenoma, NOS	C69.0	orbit and lacrimal gland, excl. retina, eye, nos	C4542	Lacrimal Gland Pleomorphic Adenoma	6	1
95600	Neurilemoma, NOS 	C69.0	orbit and lacrimal gland, excl. retina, eye, nos	C3269	Schwannoma	5	1
91200	Hemangioma, NOS	C69.0	orbit and lacrimal gland, excl. retina, eye, nos	C3085	Hemangioma	6	1
82463	Neuroendocrine carcinoma, NOS	C37.9	Thymus	C3773	Neuroendocrine Carcinoma	5	1
90800	Teratoma, benign 	C40.0	Bones and joints	C9015	Mature Teratoma	6	1
90803	Teratoma,malignant,NOS 	C40.0	Bones and joints	C4286	Immature Teratoma	5	1
90803	Teratoma,malignant,NOS 	C64.9	Kidney, NOS	C4286	Immature Teratoma	5	1
90713	Yolk sac tumor 	C40.0	Bones and joints	C3011	Yolk Sac Tumor	4	1
90603	Dysgerminoma	C56.9	Ovary	C2996	Dysgerminoma	4	1
83801	Endometrioid adenoma, borderline malignancy	C55.9	Uterus, NOS	C7983	Borderline Ovarian Endometrioid Tumor/Atypical Proliferative Ovarian Endometrioid Tumor	8	1
89303	Endometrial stromal sarcoma, NOS 	C55.9	Uterus, NOS	C8973	Endometrioid Stromal Sarcoma	7	1
89313	Endometrial stromal sarcoma, low grade 	C54.1	Endometrium	C4263	Low Grade Endometrioid Stromal Sarcoma	8	1
82003	Adenoid cystic carcinoma	C08.9	Major salivary gland, NOS	C8026	Salivary Gland Adenoid Cystic Carcinoma	6	1
83330	Microfollicular adenoma, NOS	C73.9	Thyroid gland	C4160	Thyroid Gland Microfollicular Adenoma	-1	1
83300	Follicular adenoma	C73.9	Thyroid gland	C3502	Thyroid Gland Follicular Adenoma	6	1
95103	Retinoblastoma, NOS 	C69.2	Retina	C7541	Retinoblastoma	6	1
80102	Carcinoma in situ, NOS	C34.9	Lung, NOS	C27467	Stage 0 Lung Cancer	7	1
90803	Teratoma,malignant,NOS 	C49.9	Connective, subcutaneous and other soft tissues, NOS	C4286	Immature Teratoma	5	1
90713	Yolk sac tumor 	C38.9	Mediastinum	C3011	Yolk Sac Tumor	4	1
90800	Teratoma, benign 	C56.9	Ovary	C9015	Mature Teratoma	6	1
90803	Teratoma,malignant,NOS 	C56.9	Ovary	C4286	Immature Teratoma	5	1
90800	Teratoma, benign 	C48.9	retroperitoneum and peritoneum	C9015	Mature Teratoma	6	1
90800	Teratoma, benign 	C62.9	Testis, NOS	C9015	Mature Teratoma	6	1
90713	Yolk sac tumor 	C55.9	Uterus, NOS	C3011	Yolk Sac Tumor	4	1
90853	Mixed germ cell tumor 	C56.9	Ovary	C4290	Mixed Germ Cell Tumor	4	1
99613	Primary myelofibrosis 	C42.1	Bone marrow	C2862	Primary Myelofibrosis	6	1
81700	Liver cell adenoma	C22.0	Liver	C3758	Hepatocellular Adenoma	7	1
89713	Pancreatoblastoma 	C25.9	Pancreas, NOS	C4265	Pancreatoblastoma	-1	1
81400	Adenoma, NOS	C15.9	Esophagus, NOS	C2855	Adenoma	3	1
81603	Cholangiocarcinoma	C22.0	Liver	C4436	Cholangiocarcinoma	9	1
82603	Papillary adenocarcinoma, NOS	C73.9	Thyroid gland	C4035	Thyroid Gland Papillary Carcinoma	9	1
83403	Papillary carcinoma, follicular variant	C73.9	Thyroid gland	C126594	Follicular Variant Thyroid Gland Papillary Carcinoma	-1	1
80203	Carcinoma, undifferentiated, NOS	C73.9	Thyroid gland	C6040	Poorly Differentiated Thyroid Carcinoma	8	1
90100	Fibroadenoma, NOS	C50.9	Breast, NOS	C3744	Breast Fibroadenoma	5	1
96843	Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS	C77.9	Lymph node, NOS	C3461	Immunoblastic Lymphoma	11	1
91003	Choriocarcinoma, NOS 	C20.9	Rectum, NOS	C2948	Choriocarcinoma	3	1
82903	Oxyphilic adenocarcinoma	C73.9	Thyroid gland	C4946	Thyroid Gland Hurthle Cell Carcinoma	-1	2
82903	Oxyphilic adenocarcinoma	C73.9	Thyroid gland	C3679	Oxyphilic Adenocarcinoma	5	2
91823	Fibroblastic osteosarcoma	C40.0	Bones and joints	C4020	Fibroblastic Osteosarcoma	10	1
84803	Mucinous adenocarcinoma	C18.7	Sigmoid colon	C43592	Rectosigmoid Mucinous Adenocarcinoma	9	1
80772	Squamous intraepithelial neoplasia, grade III	C51.9	Vulva, NOS	C8336	High Grade Squamous Intraepithelial Neoplasia	5	1
91803	Osteosarcoma, NOS 	C41.9	Bone, NOS	C53704	Secondary Osteosarcoma	8	3
91803	Osteosarcoma, NOS 	C41.9	Bone, NOS	C53953	Osteoblastic Osteosarcoma	10	3
91803	Osteosarcoma, NOS 	C41.9	Bone, NOS	C9145	Osteosarcoma	5	3
89803	Carcinosarcoma, NOS 	C55.9	Uterus, NOS	C42700	Uterine carcinosarcoma	7	2
89803	Carcinosarcoma, NOS 	C55.9	Uterus, NOS	C9180	Uterine Corpus Carcinosarcoma	9	2
89803	Carcinosarcoma, NOS 	C56.9	Ovary	C9192	Ovarian Carcinosarcoma	9	2
89803	Carcinosarcoma, NOS 	C56.9	Ovary	C34448	Carcinosarcoma	4	2
81403	Adenocarcinoma, NOS	C71.9	Brain, NOS	C2852	Colon Adenocarcinoma	4	1
94513	Oligodendroglioma, anaplastic 	C71.9	Brain, NOS	C4326	Anaplastic Oligodendroglioma	8	1
88903	Leiomyosarcoma,NOS 	C30.9	nasal cavity including nasal cartilage	C3158	Leiomyosarcoma	7	1
99403	Hairy cell leukemia	C42.1	Bone marrow	C7402	Hairy Cell Leukemia	7	1
97023	Mature T-cell lymphoma, NOS	C77.9	Lymph node, NOS	C4340	Peripheral T-Cell Lymphoma, Not Otherwise Specified	9	2
97023	Mature T-cell lymphoma, NOS	C77.9	Lymph node, NOS	C27909	Mature T-Cell and NK-Cell Neoplasm	6	2
97023	Mature T-cell lymphoma, NOS	C74.9	Adrenal gland, NOS	C4340	Peripheral T-Cell Lymphoma, Not Otherwise Specified	9	1
97143	Anaplastic large cell lymphoma, T cell and Null cell type	C77.9	Lymph node, NOS	C3720	Anaplastic Large Cell Lymphoma	9	2
97143	Anaplastic large cell lymphoma, T cell and Null cell type	C77.9	Lymph node, NOS	C37193	Anaplastic large cell lymphoma, ALK-positive	10	2
97143	Anaplastic large cell lymphoma, T cell and Null cell type	C14.0	pharynx, NOS	C3468	Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma	8	1
98723	Acute myeloid leukemia, minimal differentiation	C42.1	Bone marrow	C8460	Acute Myeloid Leukemia with Minimal Differentiation	8	1
91833	Telangiectatic osteosarcoma	C40.0	Bones and joints	C3902	Telangiectatic Osteosarcoma	-1	1
84803	Mucinous adenocarcinoma	C18.0	Cecum	C7966	Colon Mucinous Adenocarcinoma	9	1
85603	Adenosquamous carcinoma 	C53.9	Cervix uteri	C4519	Cervical Adenosquamous Carcinoma	9	1
84303	Mucoepidermoid carcinoma	C34.9	Lung, NOS	C45544	Lung mucoepidermoid carcinoma	6	1
82463	Neuroendocrine carcinoma, NOS	C25.9	Pancreas, NOS	C3770	Pancreatic Neuroendocrine Tumor	7	1
95083	Atypical teratoid/rhabdoid tumor	C71.0	cerebrum	C6906	Atypical Teratoid/Rhabdoid Tumor	6	1
81403	Adenocarcinoma, NOS	C73.9	Thyroid gland	C2852	Colon Adenocarcinoma	4	1
94903	Ganglioneuroblastoma	C47.9	Autonomic nervous system, NOS	C3790	Ganglioneuroblastoma	7	1
84303	Mucoepidermoid carcinoma	C07.9	Parotid gland 	C3772	Mucoepidermoid Carcinoma	5	1
80703	Squamous cell carcinoma, NOS	C51.0	vagina and labia	C4052	Vulvar Squamous Cell Carcinoma	8	1
80413	Small cell carcinoma, NOS	C51.0	vagina and labia	C3915	Small Cell Carcinoma	6	1
81403	Adenocarcinoma, NOS	C51.0	vagina and labia	C2852	Colon Adenocarcinoma	4	1
97023	Mature T-cell lymphoma, NOS	C49.9	Connective, subcutaneous and other soft tissues, NOS	C4340	Peripheral T-Cell Lymphoma, Not Otherwise Specified	9	1
97143	Anaplastic large cell lymphoma, T cell and Null cell type	C40.0	Bones and joints	C3468	Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma	8	1
97143	Anaplastic large cell lymphoma, T cell and Null cell type	C49.9	Connective, subcutaneous and other soft tissues, NOS	C3468	Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma	8	1
94900	Ganglioneuroma	C72.9	Nervous system, NOS	C3049	Ganglioneuroma	5	1
95403	Malignant peripheral nerve sheath tumor 	C25.9	Pancreas, NOS	C3798	Malignant Peripheral Nerve Sheath Tumor	5	1
93643	Peripheral neuroectodermal tumor	C47.9	Autonomic nervous system, NOS	C9341	Peripheral Primitive Neuroectodermal Tumor	6	1
84903	Signet ring cell carcinoma	C16.9	Stomach, NOS	C5250	Gastric Signet Ring Cell Adenocarcinoma	9	1
84903	Signet ring cell carcinoma	C18.9	Colon, NOS	C3774	Signet Ring Cell Carcinoma	5	1
89733	Pleuropulmonary blastoma	C34.9	Lung, NOS	C5669	Pleuropulmonary Blastoma	5	1
