ICD-O Code	Level	Term Type	Term type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT String (Preferred term)
C31.9	Synonym	SY	Synonym	Accessory nasal sinus	C0030471	C12763	Paranasal Sinus
C31.9	Synonym	SY	Synonym	Paranasal sinus	C0030471	C12763	Paranasal Sinus
C32	3	HT	Hierarchical term	LARYNX	C0023078	C12420	Larynx
C32.0	4	PT	Preferred term	Glottis	C0017681	C12724	Glottis
C32.0	Related	RT	Related term	Intrinsic larynx	C0225583		
C32.0	Related	RT	Related term	Laryngeal commissure	C0225577		
C32.0	Related	RT	Related term	Vocal cord, NOS	C0042930	C12822	Vocal Cord
C32.0	Synonym	SY	Synonym	True cord	CL321357	C33815	True Vocal Cord
C32.0	Synonym	SY	Synonym	True vocal cord	CL321357	C33815	True Vocal Cord
C32.1	4	PT	Preferred term	Supraglottis	C0225574	C12279	Supraglottis
C32.1	Related	RT	Related term	Epiglottis, NOS	C0014540	C12709	Epiglottis
C32.1	Related	RT	Related term	Extrinsic larynx	C0225582		
C32.1	Related	RT	Related term	Laryngeal aspect of aryepiglottic fold	C0687029		
C32.1	Related	RT	Related term	Posterior surface of epiglottis	CL018361		
C32.1	Related	RT	Related term	Ventricular band of larynx	C0149596	C32583	False Vocal Cord
C32.1	Synonym	SY	Synonym	False cord	C0149596	C32583	False Vocal Cord
C32.1	Synonym	SY	Synonym	False vocal cord	C0149596	C32583	False Vocal Cord
C32.2	4	PT	Preferred term	Subglottis	C0456475	C12280	Subglottis
C32.3	4	PT	Preferred term	Laryngeal cartilage	C0023050	C12281	Laryngeal Cartilage
C32.3	Related	RT	Related term	Arytenoid cartilage	C0003943	C32148	Arytenoid Cartilage
C32.3	Related	RT	Related term	Cricoid cartilage	C0010323	C32400	Cricoid Cartilage
C32.3	Related	RT	Related term	Cuneiform cartilage	C0225557	C32417	Cuneiform Cartilage
C32.3	Related	RT	Related term	Thyroid cartilage	C0040126	C33780	Thyroid Cartilage
C32.8	4	PT	Preferred term	Overlapping lesion of larynx	CL018362		
C32.9	4	PT	Preferred term	Larynx, NOS	C0023078	C12420	Larynx
C33	3	HT	Hierarchical term	TRACHEA	C0040578	C12428	Trachea
C33.9	4	PT	Preferred term	Trachea	C0040578	C12428	Trachea
C34	3	HT	Hierarchical term	BRONCHUS AND LUNG	CL435409		
C34.0	4	PT	Preferred term	Main bronchus	C0024496	C12284	Main Bronchus
C34.0	Related	RT	Related term	Carina	C0225594	C25264	Carina
C34.0	Related	RT	Related term	Hilus of lung	CL018364		
C34.1	4	PT	Preferred term	Upper lobe, lung	C0225756	C12285	Upper Lobe of the Lung
C34.1	Related	RT	Related term	Lingula of lung	C0225740	C40373	Lingula of the Lung
C34.1	Related	RT	Related term	Upper lobe, bronchus	C1283266		
C34.2	4	PT	Preferred term	Middle lobe, lung	C0225757	C12286	Middle Lobe of the Right Lung
C34.2	Related	RT	Related term	Middle lobe, bronchus	CL018365		
C34.3	4	PT	Preferred term	Lower lobe, lung	C0225758	C12287	Lower Lobe of the Lung
C34.3	Related	RT	Related term	Lower lobe, bronchus	C1283267		
C34.8	4	PT	Preferred term	Overlapping lesion of lung	CL018366		
C34.9	4	PT	Preferred term	Lung, NOS	C0024109	C12468	Lung
C34.9	Related	RT	Related term	Bronchiole	C0006270	C12684	Bronchiole
C34.9	Related	RT	Related term	Bronchogenic	CL072099		
C34.9	Related	RT	Related term	Bronchus, NOS	C0006255	C12683	Bronchus
C34.9	Related	RT	Related term	Pulmonary, NOS	C2709248	C13304	Pulmonary
C37	3	HT	Hierarchical term	THYMUS	C0040113	C12433	Thymus Gland
C37.9	4	PT	Preferred term	Thymus	C0040113	C12433	Thymus Gland
C38	3	HT	Hierarchical term	HEART, MEDIASTINUM, AND PLEURA	CL018367		
C38.0	4	PT	Preferred term	Heart	C0018787	C12727	Heart
C38.0	Related	RT	Related term	Cardiac atrium	C0018792	C12728	Cardiac Atrium
C38.0	Related	RT	Related term	Cardiac ventricle	C0018827	C12730	Cardiac Ventricle
C38.0	Related	RT	Related term	Endocardium	C0014124	C13004	Endocardium
C38.0	Related	RT	Related term	Epicardium	C0225968	C13164	Epicardium
C38.0	Related	RT	Related term	Myocardium	C0027061	C12371	Myocardium
C38.0	Related	RT	Related term	Pericardium	C0031050	C13005	Pericardium
C38.1	4	PT	Preferred term	Anterior mediastinum	C0230148	C32098	Anterior Mediastinum
C38.2	4	PT	Preferred term	Posterior mediastinum	C0230150	C33368	Posterior Mediastinum
C38.3	4	PT	Preferred term	Mediastinum, NOS	C0025066	C12748	Mediastinum
C38.4	4	PT	Preferred term	Pleura, NOS	C0032225	C12469	Pleura
C38.4	Related	RT	Related term	Parietal pleura	C0225777	C33273	Parietal Pleura
C38.4	Related	RT	Related term	Visceral pleura	C0225776	C33881	Visceral Pleura
C38.8	4	PT	Preferred term	Overlapping lesion of heart, mediastinum and pleura	CL497933		
C39	3	HT	Hierarchical term	OTHER AND ILL-DEFINED SITES WITHIN RESPIRATORY SYSTEM AND INTRATHORACIC ORGANS	CL025607		
C39.0	4	PT	Preferred term	Upper respiratory tract, NOS	C0458578		
C39.8	4	PT	Preferred term	Overlapping lesion of respiratory system and intrathoracic organs	CL018371		
C39.9	4	PT	Preferred term	Ill-defined sites within respiratory system	C0282335		
C39.9	Synonym	SY	Synonym	Respiratory tract, NOS	C0282335		
C40-C41	2	HT	Hierarchical term	BONES, JOINTS and ARTICULAR CARTILAGE	CL018372		
C40	3	HT	Hierarchical term	BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS	CL018373		
C40.0	4	PT	Preferred term	Long bones of upper limb, scapula and associated joints	CL018374		
C40.0	Related	RT	Related term	Acromioclavicular joint	C0001208	C32047	Acromioclavicular Joint
C40.0	Related	RT	Related term	Bone of arm	C0520509		
C40.0	Related	RT	Related term	Bone of forearm	C0576459		
C40.0	Related	RT	Related term	Bone of shoulder	C0223625		
C40.0	Related	RT	Related term	Elbow joint	C0013770	C32497	Elbow Joint
C40.0	Related	RT	Related term	Humerus	C0020164	C12731	Humerus
C40.0	Related	RT	Related term	Radius	C0034627	C12777	Radius Bone
C40.0	Related	RT	Related term	Scapula	C0036277	C12783	Scapula
C40.0	Related	RT	Related term	Shoulder girdle	C0427245	C33547	Shoulder Girdle
C40.0	Related	RT	Related term	Shoulder joint	C0037009	C33548	Shoulder Joint
C40.0	Related	RT	Related term	Ulna	C0041600	C12809	Ulna
C40.1	4	PT	Preferred term	Short bones of upper limb and associated joints	CL018376		
C40.1	Related	RT	Related term	Bone of finger	C0223792	C52771	Hand Phalanx
C40.1	Related	RT	Related term	Bone of hand	C0448064		
C40.1	Related	RT	Related term	Bone of thumb	C0560733		
C40.1	Related	RT	Related term	Bone of wrist	C0007285	C12688	Carpal Bone
C40.1	Related	RT	Related term	Carpal bone	C0007285	C12688	Carpal Bone
C40.1	Related	RT	Related term	Hand joint	C0459470		
C40.1	Related	RT	Related term	Metacarpal bone	C0025526	C12751	Metacarpal Bone
C40.1	Related	RT	Related term	Phalanx of hand	C0223792	C52771	Hand Phalanx
C40.1	Related	RT	Related term	Wrist joint	C1322271	C33894	Wrist Joint
C40.2	4	PT	Preferred term	Long bones of lower limb and associated joints	CL018377		
C40.2	Related	RT	Related term	Bone of leg	C0023217		
C40.2	Related	RT	Related term	Femur	C0015811	C12717	Femur
C40.2	Related	RT	Related term	Fibula	C0016068	C12718	Fibula
C40.2	Related	RT	Related term	Knee joint, NOS	C0022745	C32898	Knee Joint
C40.2	Related	RT	Related term	Semilunar cartilage	C0348072	C33097	Meniscus Lateralis
C40.2	Related	RT	Related term	Tibia	C0040184	C12800	Tibia
C40.2	Synonym	SY	Synonym	Lateral meniscus of knee joint	C0348072	C33097	Meniscus Lateralis
C40.2	Synonym	SY	Synonym	Medial meniscus of knee joint	C0348073	C33098	Meniscus Medialis
C40.3	4	PT	Preferred term	Short bones of lower limb and associated joints	CL018379		
C40.3	Related	RT	Related term	Ankle joint	C0003087	C32078	Ankle Joint
C40.3	Related	RT	Related term	Bone of ankle	C0039316	C12796	Tarsal Bone
C40.3	Related	RT	Related term	Bone of foot	C0016505	C13068	Foot Bone
C40.3	Related	RT	Related term	Bone of heel	C0006655	C32250	Calcaneum
C40.3	Related	RT	Related term	Bone of toe	C0584876	C52772	Foot Phalanx
C40.3	Related	RT	Related term	Foot joint	C0039318		
C40.3	Related	RT	Related term	Metatarsal bone	C0025584	C12752	Metatarsal Bone
C40.3	Related	RT	Related term	Patella	C0030647	C33282	Patella
C40.3	Related	RT	Related term	Phalanx of foot	C0584876	C52772	Foot Phalanx
C40.3	Related	RT	Related term	Tarsal bone	C0039316	C12796	Tarsal Bone
C40.8	4	PT	Preferred term	Overlapping lesion of bones, joints and articular cartilage of limbs	CL018380		
C40.9	4	PT	Preferred term	Bone of limb, NOS	C0582791	C32223	Bone of the Extremity
C40.9	Related	RT	Related term	Articular cartilage of limb, NOS	CL018383		
C40.9	Related	RT	Related term	Cartilage of limb, NOS	CL018381		
C40.9	Related	RT	Related term	Joint of limb, NOS	CL018382		
C41	3	HT	Hierarchical term	BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES	CL018384		
C41.0	4	PT	Preferred term	Bones of skull and face and associated joints	CL018385		
C41.0	Related	RT	Related term	Calvarium	C0205950	C81188	Skullcap
C41.0	Related	RT	Related term	Cranial bone	C0447962		
C41.0	Related	RT	Related term	Ethmoid bone	C0015027	C12711	Ethmoid Bone
C41.0	Related	RT	Related term	Facial bone	C0015455	C63706	Facial Bone
C41.0	Related	RT	Related term	Frontal bone	C0016732	C32635	Frontal Bone
C41.0	Related	RT	Related term	Hyoid bone	C0020417	C32752	Hyoid Bone
C41.0	Related	RT	Related term	Maxilla	C0024947	C26470	Maxilla
C41.0	Related	RT	Related term	Nasal bone	C0027422	C33157	Nasal Bone
C41.0	Related	RT	Related term	Occipital bone	C0028784	C12757	Occipital Bone
C41.0	Related	RT	Related term	Orbital bone	C0043539		
C41.0	Related	RT	Related term	Parietal bone	C0030558	C12766	Parietal Bone
C41.0	Related	RT	Related term	Skull, NOS	C0037303	C12789	Skull
C41.0	Related	RT	Related term	Sphenoid bone	C0037884	C12790	Sphenoid Bone
C41.0	Related	RT	Related term	Temporal bone	C0039484	C12797	Temporal Bone
C41.0	Related	RT	Related term	Zygomatic bone	C0043539		
C41.0	Synonym	SY	Synonym	Upper jaw bone	C0024947	C26470	Maxilla
C41.1	4	PT	Preferred term	Mandible	C0024687	C12290	Mandible
C41.1	Related	RT	Related term	Temporomandibular joint	C0039493	C32888	Jaw Joint
C41.1	Synonym	SY	Synonym	Jaw bone, NOS	C0024687	C12290	Mandible
C41.1	Synonym	SY	Synonym	Lower jaw bone	C0024687	C12290	Mandible
C41.2	4	PT	Preferred term	Vertebral column	C0037949	C12998	Vertebral Column
C41.2	Related	RT	Related term	Atlas	C0004170	C32239	C1 Vertebra
C41.2	Related	RT	Related term	Axis	C0004457	C32240	C2 Vertebra
C41.2	Related	RT	Related term	Bone of back	CL018388		
C41.2	Related	RT	Related term	Intervertebral disc	C0021815	C49571	Intervertebral Disc
C41.2	Related	RT	Related term	Nucleus pulposus	C0223086		
C41.2	Related	RT	Related term	Spinal column	C0037949	C12998	Vertebral Column
C41.2	Related	RT	Related term	Spine	C0037949	C12998	Vertebral Column
C41.2	Related	RT	Related term	Vertebra	C0549207	C12933	Vertebra
C41.3	4	PT	Preferred term	Rib, sternum, clavicle and associated joints	CL018389		
C41.3	Related	RT	Related term	Costal cartilage	C0222787	C32391	Costal Cartilage
C41.3	Related	RT	Related term	Costovertebral joint	C0224681	C32394	Costovertebral Joint
C41.3	Related	RT	Related term	Sternocostal joint	C1305902	C33617	Sternocostal Joint
C41.4	4	PT	Preferred term	Pelvic bones, sacrum, coccyx and associated joints	CL018390		
C41.4	Related	RT	Related term	Acetabulum	C0000962	C32042	Acetabulum
C41.4	Related	RT	Related term	Bone of hip	C0030786		
C41.4	Related	RT	Related term	Coccyx	C0009194	C12696	Coccyx
C41.4	Related	RT	Related term	Hip joint	C0019558	C32742	Hip Joint
C41.4	Related	RT	Related term	Ilium	C0020889	C32765	Ilium
C41.4	Related	RT	Related term	Innominate bone	C0030786		
C41.4	Related	RT	Related term	Ischium	C0022122	C32884	Ischium
C41.4	Related	RT	Related term	Pelvic bone	C0030786		
C41.4	Related	RT	Related term	Pubic bone	C0034014	C33423	Pubic Bone
C41.4	Related	RT	Related term	Sacrum	C0036037	C33504	Sacral Bone
C41.4	Related	RT	Related term	Symphysis pubis	C0034015	C33425	Pubic Symphysis
C41.8	4	PT	Preferred term	Overlapping lesion of bones, joints and articular cartilage	CL018391		
C41.9	4	PT	Preferred term	Bone, NOS	C0262950	C12366	Bone
C41.9	Related	RT	Related term	Articular cartilage, NOS	C0007303	C32144	Articular Cartilage
C41.9	Related	RT	Related term	Cartilage, NOS	C0007301	C12373	Cartilage
C41.9	Related	RT	Related term	Joint, NOS	C0022417	C13044	Joint
C41.9	Related	RT	Related term	Skeletal bone	C0262950	C12366	Bone
C42	3	HT	Hierarchical term	HEMATOPOIETIC AND RETICULOENDOTHELIAL SYSTEMS	CL028727		
C42.0	4	PT	Preferred term	Blood	C0005767	C12434	Blood
C42.1	4	PT	Preferred term	Bone marrow	C0005953	C12431	Bone Marrow
C42.2	4	PT	Preferred term	Spleen	C0037993	C12432	Spleen
C42.3	4	PT	Preferred term	Reticuloendothelial system, NOS	C0035287	C12780	Reticuloendothelial System
C42.4	4	PT	Preferred term	Hematopoietic system, NOS	C0018957	C12909	Hematopoietic System
C44	3	HT	Hierarchical term	SKIN	C1123023	C12470	Skin
C44.0	4	PT	Preferred term	Skin of lip, NOS	C0222101	C12291	Skin of the Lip
C44.0	Related	RT	Related term	Skin of lower lip	C0222103		
C44.0	Related	RT	Related term	Skin of upper lip	C0222102		
C44.1	4	PT	Preferred term	Eyelid	C0015426	C12713	Eyelid
C44.1	Related	RT	Related term	Canthus, NOS	C0229245		
C44.1	Related	RT	Related term	Inner canthus	C1708516	C49564	Inner Canthus
C44.1	Related	RT	Related term	Lower lid	CL018396		
C44.1	Related	RT	Related term	Meibomian gland	C0025181	C33075	Meibomian Gland
C44.1	Related	RT	Related term	Outer canthus	C1711189	C49597	Outer Canthus
C44.1	Related	RT	Related term	Upper lid	CL018398		
C44.1	Synonym	SY	Synonym	Lid, NOS	C0015426	C12713	Eyelid
C44.1	Synonym	SY	Synonym	Palpebra	C0015426	C12713	Eyelid
C44.2	4	PT	Preferred term	External ear	C0013453	C12292	External Ear
C44.2	Related	RT	Related term	Auricle, NOS	C0013453	C12292	External Ear
C44.2	Related	RT	Related term	Ceruminal gland	C0229352	C32294	Ceruminous Gland
C44.2	Related	RT	Related term	Concha	C0229316	C32362	Concha
C44.2	Related	RT	Related term	Ear lobule	C0229315	C32999	Lobule of the Auricle
C44.2	Related	RT	Related term	Ear, NOS	C0013443	C12394	Ear
C44.2	Related	RT	Related term	External auditory canal	C0013444	C12498	External Acoustic Meatus
C44.2	Related	RT	Related term	Helix	C0229304	C32724	Helix
C44.2	Related	RT	Related term	Skin of auricle	C0222112		
C44.2	Related	RT	Related term	Tragus	C0229312	C33801	Tragus
C44.2	Synonym	SY	Synonym	Auditory canal, NOS	C0013444	C12498	External Acoustic Meatus
C44.2	Synonym	SY	Synonym	Auricular canal, NOS	C0013444	C12498	External Acoustic Meatus
C44.2	Synonym	SY	Synonym	Ear canal	C0013444	C12498	External Acoustic Meatus
C44.2	Synonym	SY	Synonym	Earlobe	C0229315	C32999	Lobule of the Auricle
C44.2	Synonym	SY	Synonym	External auditory meatus	C0013444	C12498	External Acoustic Meatus
C44.2	Synonym	SY	Synonym	External auricular canal	C0013444	C12498	External Acoustic Meatus
C44.2	Synonym	SY	Synonym	Pinna	C0013453	C12292	External Ear
C44.2	Synonym	SY	Synonym	Skin of ear, NOS	C0222110	C49481	Ear Skin
C44.3	4	PT	Preferred term	Skin of other and unspecified parts of face	C0222084	C33561	Skin of the Face
C44.3	Related	RT	Related term	Ala nasi	C0458563		
C44.3	Related	RT	Related term	Chin, NOS	C0008114	C81169	Mentum
C44.3	Related	RT	Related term	Columnella	CL018403		
C44.3	Related	RT	Related term	External cheek	CL018404		
C44.3	Related	RT	Related term	External nose	C0458561	C32566	External Nose
C44.3	Related	RT	Related term	Eyebrow	C0015420	C32575	Eyebrow
C44.3	Related	RT	Related term	Forehead, NOS	C0016540	C89803	Forehead
C44.3	Related	RT	Related term	Skin of cheek	C0222085		
C44.3	Related	RT	Related term	Skin of chin	C0222106		
C44.3	Related	RT	Related term	Skin of face	C0222084	C33561	Skin of the Face
C44.3	Related	RT	Related term	Skin of forehead	C0222074		
C44.3	Related	RT	Related term	Skin of jaw	C0222109		
C44.3	Related	RT	Related term	Skin of nose	C0222095		
C44.3	Related	RT	Related term	Skin of temple	C0448792		
C44.3	Related	RT	Related term	Temple, NOS	CL018405		
C44.3	Synonym	SY	Synonym	Brow	C0015420	C32575	Eyebrow
C44.4	4	PT	Preferred term	Skin of scalp and neck	C1522650	C12294	Skin of the Scalp and Neck
C44.4	Related	RT	Related term	Skin of cervical region	CL018407		
C44.4	Related	RT	Related term	Skin of head, NOS	C0205029	C52757	Head Skin
C44.4	Related	RT	Related term	Skin of neck	C0205030	C52756	Neck Skin
C44.4	Related	RT	Related term	Skin of scalp	C0699772		
C44.4	Related	RT	Related term	Skin of supraclavicular region	CL018408		
C44.4	Synonym	SY	Synonym	Scalp, NOS	C0036270	C89807	Scalp
C44.5	4	PT	Preferred term	Skin of trunk	C0205031	C12295	Skin of the Trunk
C44.5	Related	RT	Related term	Perianal skin	C1704244		
C44.5	Related	RT	Related term	Skin of abdomen	C0222166	C52758	Abdominal Skin
C44.5	Related	RT	Related term	Skin of abdominal wall	CL018409		
C44.5	Related	RT	Related term	Skin of anus	C0222181		
C44.5	Related	RT	Related term	Skin of axilla	CL497335	C116164	Skin Of The Axilla
C44.5	Related	RT	Related term	Skin of back	C0222155		
C44.5	Related	RT	Related term	Skin of breast	C0149538		
C44.5	Related	RT	Related term	Skin of buttock	C0222165		
C44.5	Related	RT	Related term	Skin of chest wall	CL018410		
C44.5	Related	RT	Related term	Skin of chest	C0222149		
C44.5	Related	RT	Related term	Skin of flank	C1261041		
C44.5	Related	RT	Related term	Skin of gluteal region	C0222165		
C44.5	Related	RT	Related term	Skin of groin	C0222173		
C44.5	Related	RT	Related term	Skin of infraclavicular region	C0222145		
C44.5	Related	RT	Related term	Skin of inguinal region	C0222173		
C44.5	Related	RT	Related term	Skin of perineum	C0222176		
C44.5	Related	RT	Related term	Skin of sacrococcygeal region	C0222161		
C44.5	Related	RT	Related term	Skin of scapular region	C0448817		
C44.5	Related	RT	Related term	Skin of thoracic wall	CL018411		
C44.5	Related	RT	Related term	Skin of thorax	C0816233		
C44.5	Related	RT	Related term	Skin of trunk	C0205031	C12295	Skin of the Trunk
C44.5	Related	RT	Related term	Skin of umbilicus	C0222169		
C44.5	Related	RT	Related term	Umbilicus, NOS	C0041638	C77533	Umbilicus
C44.6	4	PT	Preferred term	Skin of upper limb and shoulder	C0222212	C12296	Skin of the Upper Limb and Shoulder
C44.6	Related	RT	Related term	Finger nail	C0222001	C32609	Fingernail
C44.6	Related	RT	Related term	Palmar skin	CL018416		
C44.6	Related	RT	Related term	Skin of antecubital space	CL018415		
C44.6	Related	RT	Related term	Skin of arm	C0222204	C52754	Arm Skin
C44.6	Related	RT	Related term	Skin of elbow	C0222213	C52755	Elbow Skin
C44.6	Related	RT	Related term	Skin of finger	C0222234		
C44.6	Related	RT	Related term	Skin of forearm	C0222215		
C44.6	Related	RT	Related term	Skin of hand	C0222224	C52753	Hand Skin
C44.6	Related	RT	Related term	Skin of palm	C0222226		
C44.6	Related	RT	Related term	Skin of shoulder	C0222141		
C44.6	Related	RT	Related term	Skin of thumb	C0222239		
C44.6	Related	RT	Related term	Skin of upper limb	C0205032		
C44.6	Related	RT	Related term	Skin of wrist	C0222223	C52752	Wrist Skin
C44.7	4	PT	Preferred term	Skin of lower limb and hip	C0222268	C12297	Skin of the Lower Limb and Hip
C44.7	Related	RT	Related term	Plantar skin	CL018420		
C44.7	Related	RT	Related term	Skin of ankle	C0222286	C52751	Ankle Skin
C44.7	Related	RT	Related term	Skin of calf	C0448909		
C44.7	Related	RT	Related term	Skin of foot	C0222289	C52750	Foot Skin
C44.7	Related	RT	Related term	Skin of heel	C0222287		
C44.7	Related	RT	Related term	Skin of hip	C0222164		
C44.7	Related	RT	Related term	Skin of knee	C0222275	C64859	Knee Skin
C44.7	Related	RT	Related term	Skin of leg	C0222279	C52749	Leg Skin
C44.7	Related	RT	Related term	Skin of lower limb	C1266887		
C44.7	Related	RT	Related term	Skin of popliteal space	CL018419		
C44.7	Related	RT	Related term	Skin of thigh	C0222269		
C44.7	Related	RT	Related term	Skin of toe	C0222297		
C44.7	Related	RT	Related term	Sole of foot	C0230463	C33326	Plantar Region
C44.7	Related	RT	Related term	Toe nail	C0222007	C33790	Toenail
C44.8	4	PT	Preferred term	Overlapping lesion of skin	CL018421		
C44.9	4	PT	Preferred term	Skin, NOS	C1123023	C12470	Skin
C47	3	HT	Hierarchical term	PERIPHERAL NERVES AND AUTONOMIC NERVOUS SYSTEM	CL018422		
C47.0	4	PT	Preferred term	Peripheral nerves and autonomic nervous system of head, face, and neck	CL018423		
C47.0	Related	RT	Related term	Cervical plexus	C0007854		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of cervical region	CL018432		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of cheek	CL018424		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of chin	CL018425		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of face	CL018426		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of forehead	CL018427		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of head	CL018428		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of neck	CL018429		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of pterygoid fossa	CL018433		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of scalp	CL018430		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of supraclavicular region	CL018434		
C47.0	Related	RT	Related term	Peripheral nerves and autonomic nervous system of temple	CL018431		
C47.1	4	PT	Preferred term	Peripheral nerves and autonomic nervous system of upper limb and shoulder	CL018435		
C47.1	Related	RT	Related term	Brachial nerve	CL018445		
C47.1	Related	RT	Related term	Brachial plexus	C0006090	C12682	Brachial Plexus
C47.1	Related	RT	Related term	Median nerve	C0025058	C52815	Median Nerve
C47.1	Related	RT	Related term	Peripheral nerves and autonomic nervous system of antecubital space	CL018436		
C47.1	Related	RT	Related term	Peripheral nerves and autonomic nervous system of arm	CL018438		
C47.1	Related	RT	Related term	Peripheral nerves and autonomic nervous system of elbow	CL018437		
C47.1	Related	RT	Related term	Peripheral nerves and autonomic nervous system of finger	CL018439		
C47.1	Related	RT	Related term	Peripheral nerves and autonomic nervous system of forearm	CL018440		
C47.1	Related	RT	Related term	Peripheral nerves and autonomic nervous system of hand	CL018441		
C47.1	Related	RT	Related term	Peripheral nerves and autonomic nervous system of shoulder	CL018442		
C47.1	Related	RT	Related term	Peripheral nerves and autonomic nervous system of thumb	CL018443		
C47.1	Related	RT	Related term	Peripheral nerves and autonomic nervous system of wrist	CL018444		
C47.1	Related	RT	Related term	Radial nerve	C0034518	C52812	Radial Nerve
C47.1	Related	RT	Related term	Ulnar nerve	C0041602	C52807	Ulnar Nerve
C47.2	4	PT	Preferred term	Peripheral nerves and autonomic nervous system of lower limband hip	CL497934		
C47.2	Related	RT	Related term	Femoral nerve	C0015808	C52816	Femoral Nerve
C47.2	Related	RT	Related term	Obturator nerve	C0028783	C75909	Obturator Nerve
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of ankle	CL018447		
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of calf	CL018448		
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of foot	CL018449		
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of heel	CL018450		
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of hip	CL018451		
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of knee	CL018452		
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of leg	CL018453		
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of popliteal space	CL018454		
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of thigh	CL018455		
C47.2	Related	RT	Related term	Peripheral nerves and autonomic nervous system of toe	CL018456		
C47.2	Related	RT	Related term	Sciatic nerve	C0036394	C52810	Sciatic Nerve
C47.3	4	PT	Preferred term	Peripheral nerves and autonomic nervous system of thorax	CL018457		
C47.3	Related	RT	Related term	Intercostal nerve	C1285089	C32825	Intercostal Nerve
C47.3	Related	RT	Related term	Peripheral nerves and autonomic nervous system of axilla	CL018458		
C47.3	Related	RT	Related term	Peripheral nerves and autonomic nervous system of chest wall	CL018460		
C47.3	Related	RT	Related term	Peripheral nerves and autonomic nervous system of chest	CL018459		
C47.3	Related	RT	Related term	Peripheral nerves and autonomic nervous system of infraclavicular region	CL018462		
C47.3	Related	RT	Related term	Peripheral nerves and autonomic nervous system of scapular region	CL018463		
C47.3	Related	RT	Related term	Peripheral nerves and autonomic nervous system of thoracic wall	CL018461		
C47.4	4	PT	Preferred term	Peripheral nerves and autonomic nervous system of abdomen	CL018464		
C47.4	Related	RT	Related term	Peripheral nerves and autonomic nervous system of abdominal wall	CL018465		
C47.4	Related	RT	Related term	Peripheral nerves and autonomic nervous system of umbilicus	CL018466		
C47.5	4	PT	Preferred term	Peripheral nerves and autonomic nervous system of pelvis	CL018467		
C47.5	Related	RT	Related term	Lumbosacral plexus	C0024093	C52805	Lumbosacral Plexus
C47.5	Related	RT	Related term	Peripheral nerves and autonomic nervous system of buttock	CL018468		
C47.5	Related	RT	Related term	Peripheral nerves and autonomic nervous system of gluteal region	CL018471		
C47.5	Related	RT	Related term	Peripheral nerves and autonomic nervous system of groin	CL018469		
C47.5	Related	RT	Related term	Peripheral nerves and autonomic nervous system of inguinal region	CL018472		
C47.5	Related	RT	Related term	Peripheral nerves and autonomic nervous system of perineum	CL018470		
C47.5	Related	RT	Related term	Peripheral nerves and autonomic nervous system of sacrococcygeal region	CL018473		
C47.5	Related	RT	Related term	Sacral nerve	C0228922	C33505	Sacral Nerve
C47.5	Related	RT	Related term	Sacral plexus	C0205827	C12846	Sacral Plexus
C47.6	4	PT	Preferred term	Peripheral nerves and autonomic nervous system of trunk, NOS	CL018474		
C47.6	Related	RT	Related term	Lumbar nerve	C0228897	C33015	Lumbar Nerve
C47.6	Related	RT	Related term	Peripheral nerves and autonomic nervous system of back	CL018475		
C47.6	Related	RT	Related term	Peripheral nerves and autonomic nervous system of flank	CL018476		
C47.6	Related	RT	Related term	Peripheral nerves and autonomic nervous system of trunk	CL018474		
C47.8	4	PT	Preferred term	Overlapping lesion of peripheral nerves and autonomic nervous system	CL018477		
C47.9	4	PT	Preferred term	Autonomic nervous system, NOS	C0004388	C12673	Autonomic Nervous System
C47.9	Related	RT	Related term	Ganglia, NOS	C1258666		
C47.9	Related	RT	Related term	Nerve, NOS	C0027740	C12466	Nerve
C47.9	Related	RT	Related term	Parasympathetic nervous system, NOS	C0030510	C12764	Parasympathetic Nervous System
C47.9	Related	RT	Related term	Peripheral nerve, NOS	C0031119	C12768	Peripheral Nerve
C47.9	Related	RT	Related term	Spinal nerve, NOS	C0037941	C12792	Spinal Nerve
