NCIT:C3262	Neoplasm
NCIT:C60639	Rectal Small Cell Carcinoma
NCIT:C6761	Colon Small Cell Carcinoma
NCIT:C5845	Extrahepatic Bile Duct Small Cell Carcinoma
NCIT:C6655	Ampulla of Vater Small Cell Carcinoma
NCIT:C6762	Esophageal Small Cell Carcinoma
NCIT:C6763	Gallbladder Small Cell Carcinoma
NCIT:C6764	Gastric Small Cell Carcinoma
NCIT:C95583	Pancreatic Small Cell Carcinoma
NCIT:C96551	Anal Canal Small Cell Carcinoma
NCIT:C6460	Thymic Small Cell Carcinoma
NCIT:C4917	Lung Small Cell Carcinoma
NCIT:C118815	Childhood Lung Small Cell Carcinoma
NCIT:C136496	Lung Small Cell Carcinoma by AJCC v7 Stage
NCIT:C6875	Large Cell Neuroendocrine Carcinoma
NCIT:C154617	Digestive System Large Cell Neuroendocrine Carcinoma
NCIT:C126323	Gastroesophageal Junction Large Cell Neuroendocrine Carcinoma
NCIT:C172722	Liver Large Cell Neuroendocrine Carcinoma
NCIT:C95582	Pancreatic Large Cell Neuroendocrine Carcinoma
NCIT:C95620	Esophageal Large Cell Neuroendocrine Carcinoma
NCIT:C95885	Gastric Large Cell Neuroendocrine Carcinoma
NCIT:C95985	Ampulla of Vater Large Cell Neuroendocrine Carcinoma
NCIT:C96065	Small Intestinal Large Cell Neuroendocrine Carcinoma
NCIT:C96157	Colorectal Large Cell Neuroendocrine Carcinoma
NCIT:C170977	Colon Large Cell Neuroendocrine Carcinoma
NCIT:C96426	Appendix Large Cell Neuroendocrine Carcinoma
NCIT:C96550	Anal Canal Large Cell Neuroendocrine Carcinoma
NCIT:C96921	Gallbladder Large Cell Neuroendocrine Carcinoma
NCIT:C96958	Extrahepatic Bile Duct Large Cell Neuroendocrine Carcinoma
NCIT:C5672	Lung Large Cell Neuroendocrine Carcinoma
NCIT:C7267	Combined Lung Large Cell Neuroendocrine Carcinoma
NCIT:C6461	Thymic Large Cell Neuroendocrine Carcinoma
NCIT:C7591	Combined Lung Carcinoma
NCIT:C9231	Merkel Cell Carcinoma
NCIT:C136869	Merkel Cell Carcinoma by AJCC v7 Stage
NCIT:C85887	Stage 0 Merkel Cell Carcinoma AJCC v7
NCIT:C85889	Stage I Merkel Cell Carcinoma AJCC v7
NCIT:C85893	Stage II Merkel Cell Carcinoma AJCC v7
NCIT:C85897	Stage III Merkel Cell Carcinoma AJCC v7
NCIT:C85900	Stage IV Merkel Cell Carcinoma AJCC v7
NCIT:C136870	Merkel Cell Carcinoma by AJCC v8 Stage
NCIT:C95405	Digestive System Neuroendocrine Carcinoma
NCIT:C126324	Gastroesophageal Junction Neuroendocrine Carcinoma
NCIT:C3770	Pancreatic Neuroendocrine Carcinoma
NCIT:C95619	Esophageal Neuroendocrine Carcinoma
NCIT:C95884	Gastric Neuroendocrine Carcinoma
NCIT:C95984	Ampulla of Vater Neuroendocrine Carcinoma
NCIT:C96063	Intestinal Neuroendocrine Carcinoma
NCIT:C96064	Small Intestinal Neuroendocrine Carcinoma
NCIT:C96156	Colorectal Neuroendocrine Carcinoma
NCIT:C96425	Appendix Neuroendocrine Carcinoma
NCIT:C96549	Anal Canal Neuroendocrine Carcinoma
NCIT:C96787	Liver Neuroendocrine Carcinoma
NCIT:C96919	Gallbladder Neuroendocrine Carcinoma
NCIT:C96956	Extrahepatic Bile Duct Neuroendocrine Carcinoma
NCIT:C4536	Pituitary Gland Carcinoma
NCIT:C163957	Metastatic Pituitary Gland Carcinoma
NCIT:C5962	Prolactin-Producing Pituitary Gland Carcinoma
NCIT:C5963	Growth Hormone-Producing Pituitary Gland Carcinoma
NCIT:C5964	ACTH-Producing Pituitary Gland Carcinoma
NCIT:C5965	TSH-Producing Pituitary Gland Carcinoma
NCIT:C45569	High Grade Lung Neuroendocrine Neoplasm
NCIT:C46104	Thyroid Gland Mixed Medullary and Follicular Cell Carcinoma
NCIT:C4906	Parathyroid Gland Carcinoma
NCIT:C118819	Childhood Parathyroid Gland Carcinoma
NCIT:C7826	Localized Parathyroid Gland Carcinoma
NCIT:C9044	Metastatic Parathyroid Gland Carcinoma
NCIT:C8559	Malignant Paraganglioma
NCIT:C133712	Metastatic Paraganglioma
NCIT:C5351	Metastatic Jugulotympanic Paraganglioma
NCIT:C8046	Metastatic Adrenal Gland Pheochromocytoma
NCIT:C4219	Malignant Extra-Adrenal Paraganglioma
NCIT:C4623	Malignant Jugulotympanic Paraganglioma
NCIT:C5392	Malignant Cardiac Paraganglioma
NCIT:C4220	Malignant Adrenal Gland Pheochromocytoma
NCIT:C92184	Malignant Adrenal Gland Composite Pheochromocytoma
NCIT:C9325	Adrenal Cortex Carcinoma
NCIT:C141098	Adrenal Cortex Carcinoma by AJCC v7 Stage
NCIT:C9214	Stage I Adrenal Cortex Carcinoma AJCC v7
NCIT:C9215	Stage II Adrenal Cortex Carcinoma AJCC v7
NCIT:C9216	Stage III Adrenal Cortex Carcinoma AJCC v7
NCIT:C9217	Stage IV Adrenal Cortex Carcinoma AJCC v7
NCIT:C141100	Adrenal Cortex Carcinoma by AJCC v8 Stage
NCIT:C141101	Stage I Adrenal Cortex Carcinoma AJCC v8
NCIT:C141102	Stage II Adrenal Cortex Carcinoma AJCC v8
NCIT:C141103	Stage III Adrenal Cortex Carcinoma AJCC v8
NCIT:C141104	Stage IV Adrenal Cortex Carcinoma AJCC v8
NCIT:C156070	Metastatic Adrenal Cortex Carcinoma
NCIT:C68635	Well Differentiated Adrenal Cortex Carcinoma
NCIT:C68644	Anaplastic Adrenal Cortex Carcinoma
NCIT:C3809	Neuroendocrine Neoplasm
NCIT:C156485	Metastatic Neuroendocrine Neoplasm
NCIT:C147065	Metastatic Well Differentiated Neuroendocrine Neoplasm
NCIT:C140329	Metastatic Non-Functioning Well Differentiated Neuroendocrine Neoplasm
NCIT:C167329	Metastatic Midgut Neuroendocrine Tumor
NCIT:C6431	Metastatic Carcinoid Tumor
NCIT:C115245	Metastatic Digestive System Neuroendocrine Tumor G1
NCIT:C156492	Metastatic Digestive System Neuroendocrine Neoplasm
NCIT:C157602	Metastatic Lung Neuroendocrine Neoplasm
NCIT:C162461	Metastatic Thymic Neuroendocrine Neoplasm
NCIT:C157130	Recurrent Neuroendocrine Neoplasm
NCIT:C138183	Recurrent Abdominal Neuroendocrine Neoplasm
NCIT:C157125	Recurrent Paraganglioma
NCIT:C8047	Recurrent Adrenal Gland Pheochromocytoma
NCIT:C157131	Refractory Neuroendocrine Neoplasm
NCIT:C138184	Refractory Abdominal Neuroendocrine Neoplasm
NCIT:C158088	Refractory Digestive System Neuroendocrine Neoplasm
NCIT:C158401	Refractory Paraganglioma
NCIT:C158402	Refractory Adrenal Gland Pheochromocytoma
NCIT:C162460	Thymic Neuroendocrine Neoplasm
NCIT:C171031	Thymic Neuroendocrine Carcinoma
NCIT:C6430	Thymic Carcinoid Tumor
NCIT:C45719	Thymic Atypical Carcinoid Tumor
NCIT:C27721	Digestive System Neuroendocrine Neoplasm
NCIT:C27031	Pancreatic Neuroendocrine Neoplasm
NCIT:C27720	Pancreatic Neuroendocrine Tumor
NCIT:C135560	Pancreatic Neuroendocrine Tumor by AJCC v8 Stage
NCIT:C135561	Stage I Pancreatic Neuroendocrine Tumor AJCC v8
NCIT:C135562	Stage II Pancreatic Neuroendocrine Tumor AJCC v8
NCIT:C135563	Stage III Pancreatic Neuroendocrine Tumor AJCC v8
NCIT:C135564	Stage IV Pancreatic Neuroendocrine Tumor AJCC v8
NCIT:C172814	Pancreatic Neuroendocrine Tumor G3
NCIT:C27454	Pancreatic VIP-Producing Neuroendocrine Tumor
NCIT:C28396	Pancreatic Delta Cell Neuroendocrine Tumor
NCIT:C28333	Non-Functioning Pancreatic Delta Cell Neuroendocrine Tumor
NCIT:C8006	Pancreatic Somatostatin-Producing Neuroendocrine Tumor
NCIT:C95595	Pancreatic Somatostatinoma
NCIT:C67369	Malignant Pancreatic Somatostatinoma
NCIT:C3062	Pancreatic Glucagon-Producing Neuroendocrine Tumor
NCIT:C95597	Pancreatic Glucagonoma
NCIT:C65187	Malignant Pancreatic Glucagonoma
NCIT:C3140	Pancreatic Insulin-Producing Neuroendocrine Tumor
NCIT:C45835	Pancreatic Neuroendocrine Tumor G2
NCIT:C45838	Non-Functioning Pancreatic Neuroendocrine Tumor G2
NCIT:C45841	Functioning Pancreatic Neuroendocrine Tumor G2
NCIT:C27466	Pancreatic ACTH-Producing Neuroendocrine Tumor
NCIT:C45837	Non-Functioning Pancreatic Neuroendocrine Tumor
NCIT:C95585	Non-Functioning Pancreatic Neuroendocrine Tumor G1
NCIT:C45840	Functioning Pancreatic Neuroendocrine Tumor
NCIT:C9069	Pancreatic Gastrin-Producing Neuroendocrine Tumor
NCIT:C95584	Pancreatic Neuroendocrine Tumor G1
NCIT:C5603	Anal Canal Neuroendocrine Neoplasm
NCIT:C96540	Anal Canal Neuroendocrine Tumor
NCIT:C96543	Anal Canal Neuroendocrine Tumor G1
NCIT:C96546	Anal Canal Neuroendocrine Tumor G2
NCIT:C5695	Intestinal Neuroendocrine Neoplasm
NCIT:C5803	Small Intestinal Neuroendocrine Neoplasm
NCIT:C96061	Small Intestinal Neuroendocrine Tumor
NCIT:C135080	Duodenal Neuroendocrine Tumor
NCIT:C135075	Duodenal Neuroendocrine Tumor by AJCC v8 Stage
NCIT:C135076	Stage I Duodenal Neuroendocrine Tumor AJCC v8
NCIT:C135077	Stage II Duodenal Neuroendocrine Tumor AJCC v8
NCIT:C135078	Stage III Duodenal Neuroendocrine Tumor AJCC v8
NCIT:C135079	Stage IV Duodenal Neuroendocrine Tumor AJCC v8
NCIT:C160442	Duodenal Neuroendocrine Tumor G2
NCIT:C172672	Duodenal Neuroendocrine Tumor G3
NCIT:C27407	Duodenal Somatostatin-Producing Neuroendocrine Tumor
NCIT:C5731	Duodenal Gastrin-Producing Neuroendocrine Tumor
NCIT:C6425	Duodenal Neuroendocrine Tumor G1
NCIT:C172664	Small Intestinal Neuroendocrine Tumor G3
NCIT:C27450	Small Intestinal Gastrin-Producing Neuroendocrine Tumor
NCIT:C27453	Small Intestinal Somatostatin-Producing Neuroendocrine Tumor
NCIT:C27455	Small Intestinal VIP-Producing Neuroendocrine Tumor
NCIT:C4638	Small Intestinal Neuroendocrine Tumor G1
NCIT:C96067	Small Intestinal Neuroendocrine Tumor G2
NCIT:C96062	Intestinal Neuroendocrine Tumor
NCIT:C172670	Intestinal Neuroendocrine Tumor G3
NCIT:C4637	Intestinal Neuroendocrine Tumor G1
NCIT:C6424	Meckel Diverticulum Neuroendocrine Tumor G1
NCIT:C96165	Intestinal Neuroendocrine Tumor G2
NCIT:C96152	Colorectal Neuroendocrine Neoplasm
NCIT:C5697	Colon Neuroendocrine Neoplasm
NCIT:C5698	Rectal Neuroendocrine Neoplasm
NCIT:C5696	Gastric Neuroendocrine Neoplasm
NCIT:C95871	Gastric Neuroendocrine Tumor
NCIT:C135045	Gastric Neuroendocrine Tumor by AJCC v8 Stage
NCIT:C135046	Stage I Gastric Neuroendocrine Tumor AJCC v8
NCIT:C135047	Stage II Gastric Neuroendocrine Tumor AJCC v8
NCIT:C135048	Stage III Gastric Neuroendocrine Tumor AJCC v8
NCIT:C135049	Stage IV Gastric Neuroendocrine Tumor AJCC v8
NCIT:C172662	Gastric Neuroendocrine Tumor G3
NCIT:C95880	Gastric Neuroendocrine Tumor G2
NCIT:C5821	Esophageal Neuroendocrine Neoplasm
NCIT:C95616	Esophageal Neuroendocrine Tumor
NCIT:C172661	Esophageal Neuroendocrine Tumor G3
NCIT:C5820	Esophageal Neuroendocrine Tumor G1
NCIT:C95617	Esophageal Neuroendocrine Tumor G2
NCIT:C60709	Appendix Neuroendocrine Neoplasm
NCIT:C96422	Appendix Neuroendocrine Tumor
NCIT:C135155	Appendix Neuroendocrine Tumor by AJCC v7 Stage
NCIT:C87809	Stage I Appendix Neuroendocrine Tumor AJCC v7
NCIT:C87810	Stage II Appendix Neuroendocrine Tumor AJCC v7
NCIT:C87811	Stage III Appendix Neuroendocrine Tumor AJCC v7
NCIT:C87812	Stage IV Appendix Neuroendocrine Tumor AJCC v7
NCIT:C135156	Appendix Neuroendocrine Tumor by AJCC v8 Stage
NCIT:C135157	Stage I Appendix Neuroendocrine Tumor AJCC v8
NCIT:C135158	Stage II Appendix Neuroendocrine Tumor AJCC v8
NCIT:C135159	Stage III Appendix Neuroendocrine Tumor AJCC v8
NCIT:C135160	Stage IV Appendix Neuroendocrine Tumor AJCC v8
NCIT:C172666	Appendix Neuroendocrine Tumor G3
NCIT:C43565	Appendix Tubular Carcinoid
NCIT:C96423	Appendix Neuroendocrine Tumor G2
NCIT:C95404	Digestive System Neuroendocrine Tumor
NCIT:C135129	Digestive System Neuroendocrine Tumor by AJCC v7 Stage
NCIT:C88027	Stage 0 Digestive System Neuroendocrine Tumor AJCC v7
NCIT:C88028	Stage I Digestive System Neuroendocrine Tumor AJCC v7
NCIT:C88033	Stage IV Digestive System Neuroendocrine Tumor AJCC v7
NCIT:C167327	Midgut Neuroendocrine Tumor
NCIT:C167328	Midgut Neuroendocrine Tumor G2
NCIT:C172669	Midgut Neuroendocrine Tumor G3
NCIT:C6422	Midgut Neuroendocrine Tumor G1
NCIT:C172660	Digestive System Neuroendocrine Tumor G3
NCIT:C172673	Ampulla of Vater Neuroendocrine Tumor G3
NCIT:C172721	Liver Neuroendocrine Tumor G3
NCIT:C172742	Gallbladder Neuroendocrine Tumor G3
NCIT:C172743	Extrahepatic Bile Duct Neuroendocrine Tumor G3
NCIT:C26749	VIP-Producing Neuroendocrine Tumor
NCIT:C65189	Malignant Vipoma
NCIT:C3050	Gastrin-Producing Neuroendocrine Tumor
NCIT:C65188	Malignant Gastrinoma
NCIT:C3379	Somatostatin-Producing Neuroendocrine Tumor
NCIT:C65190	Malignant Somatostatinoma
NCIT:C95988	Ampulla of Vater Somatostatin-Producing Neuroendocrine Tumor
NCIT:C5783	Liver Neuroendocrine Tumor
NCIT:C172719	Liver Neuroendocrine Tumor G1
NCIT:C172720	Liver Neuroendocrine Tumor G2
NCIT:C7709	Digestive System Neuroendocrine Tumor G1
NCIT:C5861	Extrahepatic Bile Duct Neuroendocrine Tumor G1
NCIT:C7861	Localized Digestive System Neuroendocrine Tumor G1
NCIT:C7862	Regional Digestive System Neuroendocrine Tumor G1
NCIT:C7864	Recurrent Digestive System Neuroendocrine Tumor G1
NCIT:C95982	Ampulla of Vater Neuroendocrine Tumor G1
NCIT:C96924	Gallbladder Neuroendocrine Tumor G1
NCIT:C95981	Ampulla of Vater Neuroendocrine Tumor
NCIT:C135081	Ampulla of Vater Neuroendocrine Tumor by AJCC v8 Stage
NCIT:C135082	Stage I Ampulla of Vater Neuroendocrine Tumor AJCC v8
NCIT:C135083	Stage II Ampulla of Vater Neuroendocrine Tumor AJCC v8
NCIT:C135084	Stage III Ampulla of Vater Neuroendocrine Tumor AJCC v8
NCIT:C135085	Stage IV Ampulla of Vater Neuroendocrine Tumor AJCC v8
NCIT:C95983	Ampulla of Vater Neuroendocrine Tumor G2
NCIT:C96166	Digestive System Neuroendocrine Tumor G2
NCIT:C96925	Gallbladder Neuroendocrine Tumor G2
NCIT:C96957	Extrahepatic Bile Duct Neuroendocrine Tumor G2
NCIT:C96918	Gallbladder Neuroendocrine Tumor
NCIT:C96930	Gallbladder Tubular Carcinoid
NCIT:C96955	Extrahepatic Bile Duct Neuroendocrine Tumor
NCIT:C95980	Ampulla of Vater Neuroendocrine Neoplasm
NCIT:C96786	Liver Neuroendocrine Neoplasm
NCIT:C96917	Gallbladder Neuroendocrine Neoplasm
NCIT:C96954	Extrahepatic Bile Duct Neuroendocrine Neoplasm
NCIT:C2879	Neoplasm of the Diffuse Neuroendocrine System
NCIT:C4216	Sympathetic Paraganglioma
NCIT:C141128	Adrenal Gland Pheochromocytoma and Sympathetic Paraganglioma by AJCC v8 Stage
NCIT:C141129	Stage I Adrenal Gland Pheochromocytoma and Sympathetic Paraganglioma AJCC v8
NCIT:C141130	Stage II Adrenal Gland Pheochromocytoma and Sympathetic Paraganglioma AJCC v8
NCIT:C141131	Stage III Adrenal Gland Pheochromocytoma and Sympathetic Paraganglioma AJCC v8
NCIT:C141132	Stage IV Adrenal Gland Pheochromocytoma and Sympathetic Paraganglioma AJCC v8
NCIT:C3326	Adrenal Gland Pheochromocytoma
NCIT:C118822	Childhood Adrenal Gland Pheochromocytoma
NCIT:C27279	Localized Adrenal Gland Pheochromocytoma
NCIT:C48305	Benign Adrenal Gland Pheochromocytoma
NCIT:C92181	Benign Adrenal Gland Composite Pheochromocytoma
NCIT:C48306	Adrenal Gland Composite Pheochromocytoma
NCIT:C8045	Regional Adrenal Gland Pheochromocytoma
NCIT:C48576	Extra-Adrenal Sympathetic Paraganglioma
NCIT:C5328	Extra-Adrenal Retroperitoneal Paraganglioma
NCIT:C2915	Carcinoid Tumor
NCIT:C118810	Childhood Carcinoid Tumor
NCIT:C6421	Foregut Carcinoid Tumor
NCIT:C4038	Lung Carcinoid Tumor
NCIT:C45551	Lung Atypical Carcinoid Tumor
NCIT:C6024	Laryngeal Carcinoid Tumor
NCIT:C6423	Hindgut Carcinoid Tumor
NCIT:C72074	Atypical Carcinoid Tumor
NCIT:C3308	Paraganglioma
NCIT:C157246	Composite Paraganglioma
NCIT:C3309	Extra-Adrenal Paraganglioma
NCIT:C4217	Parasympathetic Paraganglioma
NCIT:C3061	Jugulotympanic Paraganglioma
NCIT:C6085	Middle Ear Paraganglioma
NCIT:C45743	Mediastinal Paraganglioma
NCIT:C6409	Laryngeal Paraganglioma
NCIT:C5326	Intra-Abdominal Paraganglioma
NCIT:C5327	Head and Neck Paraganglioma
NCIT:C46125	Thyroid Gland Paraganglioma
NCIT:C48316	Nasopharyngeal Paraganglioma
NCIT:C8427	Vagus Nerve Paraganglioma
NCIT:C5466	Central Nervous System Paraganglioma
NCIT:C155769	Pituitary Gland Paraganglioma
NCIT:C48318	Cerebellar Paraganglioma
NCIT:C6410	Cardiac Paraganglioma
NCIT:C5390	Atrial Paraganglioma
NCIT:C48314	Benign Paraganglioma
NCIT:C5670	Lung Neuroendocrine Neoplasm
NCIT:C45567	Low Grade Lung Neuroendocrine Neoplasm
NCIT:C45568	Intermediate Grade Lung Neuroendocrine Neoplasm
NCIT:C6023	Laryngeal Neuroendocrine Neoplasm
NCIT:C4621	Benign Endocrine Neoplasm
NCIT:C3502	Thyroid Gland Follicular Adenoma
NCIT:C155957	Thyroid Gland Spindle Cell Follicular Adenoma
NCIT:C46111	Thyroid Gland Follicular Adenoma with Papillary Hyperplasia
NCIT:C46118	Thyroid Gland Lipoadenoma
NCIT:C9003	Adrenal Cortex Adenoma
NCIT:C48458	Non-Functioning Adrenal Cortex Adenoma
NCIT:C6432	Multiple Endocrine Neoplasia
NCIT:C123329	Multiple Endocrine Neoplasia Type 2
NCIT:C3226	Multiple Endocrine Neoplasia Type 2A
NCIT:C3227	Multiple Endocrine Neoplasia Type 2B
NCIT:C3225	Multiple Endocrine Neoplasia Type 1
NCIT:C94540	Anterior Pituitary Gland Endocrine Neoplasm
NCIT:C3329	Pituitary Gland Adenoma
NCIT:C127194	Somatotroph/Lactotroph Adenoma
NCIT:C45927	Mixed Somatotroph and Lactotroph Adenoma
NCIT:C45928	Mammosomatotroph Adenoma
NCIT:C132296	Atypical Pituitary Gland Adenoma
NCIT:C3342	Lactotroph Adenoma
NCIT:C4348	Non-Functioning Pituitary Gland Adenoma
NCIT:C121678	Non-Functioning Pituitary Gland Microadenoma
NCIT:C121721	Non-Functioning Pituitary Gland Macroadenoma
NCIT:C154429	Non-Functioning Corticotroph Adenoma
NCIT:C45924	Null Cell Pituitary Gland Adenoma
NCIT:C45935	Pituitary Gland Oncocytic Adenoma
NCIT:C43541	Pituitary Gland Microadenoma
NCIT:C121679	Functioning Pituitary Gland Microadenoma
NCIT:C43542	Pituitary Gland Macroadenoma
NCIT:C121720	Functioning Pituitary Gland Macroadenoma
NCIT:C45915	Gonadotroph Adenoma
NCIT:C121152	FSH-Producing Gonadotroph Adenoma
NCIT:C121153	LH-Producing Gonadotroph Adenoma
NCIT:C45916	Plurihormonal Pituitary Gland Adenoma
NCIT:C45929	Acidophil Stem Cell Pituitary Gland Adenoma
NCIT:C7461	Somatotroph Adenoma
NCIT:C7462	Corticotroph Adenoma
NCIT:C8011	Thyrotroph Adenoma
NCIT:C8388	Functioning Pituitary Gland Adenoma
NCIT:C4009	Non-Functioning Pituitary Gland Neoplasm
NCIT:C7047	Functioning Pituitary Gland Neoplasm
NCIT:C7909	ACTH-Producing Pituitary Gland Neoplasm
NCIT:C7910	Prolactin-Producing Pituitary Gland Neoplasm
NCIT:C7911	Growth Hormone-Producing Pituitary Gland Neoplasm
NCIT:C7915	TSH-Producing Pituitary Gland Neoplasm
NCIT:C94759	Functioning Endocrine Neoplasm
NCIT:C94760	Non-Functioning Endocrine Neoplasm
NCIT:C3030	Eye Neoplasm
NCIT:C2961	Conjunctival Neoplasm
NCIT:C3564	Malignant Conjunctival Neoplasm
NCIT:C4549	Conjunctival Squamous Cell Carcinoma
NCIT:C4550	Conjunctival Melanoma
NCIT:C4578	Conjunctival Kaposi Sarcoma
NCIT:C3622	Benign Conjunctival Neoplasm
NCIT:C4551	Conjunctival Nevus
NCIT:C6224	Conjunctival Squamous Cell Papilloma
NCIT:C6120	Conjunctival Intraepithelial Neoplasia
NCIT:C6097	Low Grade Conjunctival Intraepithelial Neoplasia
NCIT:C7668	High Grade Conjunctival Intraepithelial Neoplasia
NCIT:C3031	Eyelid Neoplasm
NCIT:C4354	Benign Eyelid Neoplasm
NCIT:C3880	Eyelid Nevus
NCIT:C4061	Eyelid Papilloma
NCIT:C4355	Eyelid Squamous Cell Papilloma
NCIT:C6786	Malignant Eyelid Neoplasm
NCIT:C4358	Eyelid Melanoma
NCIT:C6078	Eyelid Carcinoma
NCIT:C134831	Eyelid Sebaceous Gland Carcinoma
NCIT:C140511	Eyelid Carcinoma by AJCC v7 Stage
NCIT:C88120	Stage 0 Eyelid Carcinoma AJCC v7
NCIT:C88127	Stage II Eyelid Carcinoma AJCC v7
NCIT:C88133	Stage IV Eyelid Carcinoma AJCC v7
NCIT:C140513	Eyelid Carcinoma by AJCC v8 Stage
NCIT:C140515	Stage 0 Eyelid Carcinoma AJCC v8
NCIT:C140516	Stage I Eyelid Carcinoma AJCC v8
NCIT:C140519	Stage II Eyelid Carcinoma AJCC v8
NCIT:C140522	Stage III Eyelid Carcinoma AJCC v8
NCIT:C140525	Stage IV Eyelid Carcinoma AJCC v8
NCIT:C3436	Uveal Neoplasm
NCIT:C4364	Ciliary Body Neoplasm
NCIT:C4766	Malignant Ciliary Body Neoplasm
NCIT:C4557	Malignant Ciliary Body Medulloepithelioma
NCIT:C4558	Ciliary Body Melanoma
NCIT:C6117	Ciliary Body Spindle Cell Melanoma
NCIT:C6119	Ciliary Body Epithelioid Cell Melanoma
NCIT:C8553	Metastatic Malignant Neoplasm in the Ciliary Body
NCIT:C4779	Benign Ciliary Body Neoplasm
NCIT:C4560	Ciliary Body Leiomyoma
NCIT:C66807	Benign Intraocular Medulloepithelioma
NCIT:C66809	Benign Intraocular Teratoid Medulloepithelioma
NCIT:C66806	Intraocular Medulloepithelioma
NCIT:C66810	Intraocular Teratoid Medulloepithelioma
NCIT:C6104	Benign Uveal Neoplasm
NCIT:C6105	Malignant Uveal Neoplasm
NCIT:C7712	Uveal Melanoma
NCIT:C140659	Choroidal and Ciliary Body Melanoma by AJCC v8 Stage
NCIT:C140660	Stage I Choroidal and Ciliary Body Melanoma AJCC v8
NCIT:C140661	Stage II Choroidal and Ciliary Body Melanoma AJCC v8
NCIT:C140664	Stage III Choroidal and Ciliary Body Melanoma AJCC v8
NCIT:C140668	Stage IV Choroidal and Ciliary Body Melanoma AJCC v8
NCIT:C140672	Uveal Melanoma by AJCC v7 Stage
NCIT:C5577	Stage I Uveal Melanoma AJCC v7
NCIT:C5578	Stage II Uveal Melanoma AJCC v7
NCIT:C5579	Stage III Uveal Melanoma AJCC v7
NCIT:C5580	Stage IV Uveal Melanoma AJCC v7
NCIT:C148514	Metastatic Uveal Melanoma
NCIT:C35780	Epithelioid Cell Uveal Melanoma
NCIT:C7914	Recurrent Uveal Melanoma
NCIT:C7986	Spindle Cell Uveal Melanoma
NCIT:C7990	Necrotic Uveal Melanoma
NCIT:C4361	Corneal Neoplasm
NCIT:C3565	Malignant Corneal Neoplasm
NCIT:C4552	Corneal Squamous Cell Carcinoma
NCIT:C4553	Corneal Melanoma
NCIT:C4579	Corneal Kaposi Sarcoma
NCIT:C3623	Benign Corneal Neoplasm
NCIT:C6093	Corneal Intraepithelial Neoplasia
NCIT:C6094	Low Grade Corneal Intraepithelial Neoplasia
NCIT:C7669	High Grade Corneal Intraepithelial Neoplasia
NCIT:C4767	Malignant Eye Neoplasm
NCIT:C3216	Malignant Retinal Neoplasm
NCIT:C7541	Retinoblastoma
NCIT:C140750	Retinoblastoma by AJCC v8 Stage
NCIT:C42596	Sporadic Retinoblastoma
NCIT:C66813	Differentiated Retinoblastoma
NCIT:C66814	Undifferentiated Retinoblastoma
NCIT:C66815	Diffuse Retinoblastoma
NCIT:C7019	Trilateral Retinoblastoma
NCIT:C7846	Intraocular Retinoblastoma
NCIT:C9047	Childhood Intraocular Retinoblastoma
NCIT:C7848	Extraocular Retinoblastoma
NCIT:C9048	Childhood Extraocular Retinoblastoma
NCIT:C7849	Recurrent Retinoblastoma
NCIT:C8495	Hereditary Retinoblastoma
NCIT:C8713	Bilateral Retinoblastoma
NCIT:C8714	Unilateral Retinoblastoma
NCIT:C8555	Metastatic Malignant Neoplasm in the Retina
NCIT:C8601	Retinal Melanoma
NCIT:C3563	Malignant Lacrimal Gland Neoplasm
NCIT:C6129	Lacrimal Gland Carcinoma
NCIT:C4540	Lacrimal Gland Adenoid Cystic Carcinoma
NCIT:C4541	Lacrimal Gland Adenocarcinoma
NCIT:C6091	Lacrimal Gland Mucoepidermoid Carcinoma
NCIT:C6092	Lacrimal Gland Squamous Cell Carcinoma
NCIT:C6804	Lacrimal Gland Carcinoma ex Pleomorphic Adenoma
NCIT:C35690	Eye Lymphoma
NCIT:C88145	Ocular Adnexal Lymphoma
NCIT:C35689	Ocular Adnexal Mucosa-Associated Lymphoid Tissue Lymphoma
NCIT:C44960	Chlamydia Psittaci-Associated Ocular Adnexal Mucosa-Associated Lymphoid Tissue Lymphoma
NCIT:C4586	Metastatic Malignant Neoplasm in the Eye
NCIT:C6079	Eye Carcinoma
NCIT:C43340	Ocular Sebaceous Carcinoma
NCIT:C8562	Ocular Melanoma
NCIT:C171294	Recurrent Ocular Melanoma
NCIT:C171295	Metastatic Ocular Melanoma
NCIT:C7913	Ocular Melanoma with Extraocular Extension
NCIT:C92186	Intraocular Malignant Peripheral Nerve Sheath Tumor
NCIT:C4780	Benign Eye Neoplasm
NCIT:C3621	Benign Lacrimal Gland Neoplasm
NCIT:C4542	Lacrimal Gland Pleomorphic Adenoma
NCIT:C3624	Benign Retinal Neoplasm
NCIT:C3634	Retinal Hemangioma
NCIT:C4920	Retinal Capillary Hemangioma
NCIT:C4921	Retinal Cavernous Hemangioma
NCIT:C66812	Retinocytoma
NCIT:C4800	Retinal Neoplasm
NCIT:C39783	Retinal Hemangioblastoma
NCIT:C7061	Retinal Cell Neoplasm
NCIT:C66816	Spontaneously Regressing Retinoblastoma
NCIT:C5102	Lacrimal System Neoplasm
NCIT:C4360	Lacrimal Gland Neoplasm
NCIT:C3052	Digestive System Neoplasm
NCIT:C172852	Digestive System Soft Tissue Neoplasm
NCIT:C172849	Digestive System Sarcoma
